title,authors,venue,year,id
. and sheila tejada . ariadne : a system for constructing mediators for internet sources ( system,"jl ambite , n ashish , g barish",proc . of a cm sigmod conf . on management of,,24
learning probabilistic relational models,l getoorâ ? ¦,"lecture notes in computer science ,",2000.0,25
index concurrency control in firm real-time dbms,"b goyal , j haritsa , s seshadri , v srinivasan","proceedings of the international conference on very large & hellip ; ,",1995.0,26
hierarchical prefix cubes for range-sum queries,"cy chan , ye ioannidis","proceedings of the 25th international conference on very & hellip ; ,",1999.0,27
parallel algorithm for mining outliers in large database,e hung,,,28
and j. yu . client-server paradise,"dj dewitt , n kabra , j luo , jm pate","proceedings ofthe twentieth international conference on vey & hellip ; ,",,29
mining association rules between sets of items in large databases . 1993,"r agrawal , t imielinski , a swami",proc . acm sigmod international conference on management of,,30
incremental cluster for mining in a data warehousing environment,"m ester , h kriegel , j sander , m wimmer , x xu","proc . of 24 thintâ ?? l conf . of vldb ,",,31
the tv-tree : an index structure forhigh-dimensional data,"ki lin , h jagadish , c faloutsos","the vldb journal ,",,32
database techniques for the world-wide web : a survey,"d florescu , a levy , a mendelzon","sigmod record ,",1998.0,33
case for output management systems .,k schwaber,"computerworld. ,",1981.0,34
redundancy in spatial databases,ja orenstein,,,35
dual-buffering strategies in object bases,"a kemper , d kossmann","vldb ,",1994.0,36
processing complex aggregate queries over data streams,"a dobra , mn garofalakis , j gehrke , r rastogi","sigmod conference ,",2002.0,37
algorithms for mining association rules in bag databases,"py hsu , yl chen , cc ling","information sciencesâ ?? informatics and computer science : an & hellip ; ,",2004.0,38
the ssã · - tree : an improved index structure for similarity searches in a high-dimensional feature,"r kurniawati , js jin , ja shepherd",,,39
lore : a database management system for semistructued data,"j mchugh , s abiteboul , r goldmanâ ? ¦","acm sigmod ,",,40
maximal objects and the semantics of universal relation databases,"d maier , jd ullman","acm transactions on database systems ,",1983.0,41
spatial query processing in an object-oriented database system,ja orenstein,proceedings of the 1986 acm sigmod international conference,,42
an efficient indexing method for partitioned data,"d choy , c mohan","ibm research report , ibm almaden research center , january ,",,43
keynote address,t bailey,"women in aviation international conference , reno , nv , march ,",,44
cost-based selection of path expression processing algorithms in object-oriented databases,"g gardarin , jr gruser , zh tang","proceedings of the international conference on very large & hellip ; ,",1996.0,45
"support for polylingual persistence , interoperability and naming in object-oriented databases","a kaplan , jcp wileden","technical report tr-96-4 , university of massachusetts , computer",,46
performance analysis of a relational data base management system,"p hawthorn , m stonebraker",proceedings of the 1979 acm sigmod international conference,,47
j. widom change detection in hierarchically structured information,"s chawathe , a rajaraman , h garcia-molina",proc . of the acm sigmod int . conf . on management of,,48
eic editorial,ps yu,"ieee transactions on knowledge and data engineering ,",2004.0,49
the management transition,l goff,"computerworld ,",,50
implementation and research issues in query processing for wireless sensor networks,"w hong , s madden",,,51
the active database management systems manifesto,"kr dittrich , s gatziu , a geppert","sigmod record ,",,52
implementing information management strategies .,cet rohm,"new directions for higher education ,",1986.0,53
recovering information from summary data,"hv jagadish , nd sidiropoulost",,,54
efficient timestamping in databases,"k torp , cs jensen , rt snodgrass","vldb journal , to",,55
editors  notes,"r picciotto , rc rist","new directions for program evaluation ,",1995.0,56
a performance study of transitive closure algorithms,"s dar , r ramakrishnan","sigmod conference ,",1994.0,57
bayan : an arabic text database management system,"r king , a morfeq","proceedings of the 1990 acm sigmod international conference & hellip ; ,",1990.0,58
sigcas chair s message,cd martin,"computers and society ,",,59
mendelzon . database techniques for the world-w ide-wide : a survey,"d florescu , a levy","sigmod record ,",,60
guest editor s introduction,k aberer,"acm sigmod record ,",2003.0,61
guest editors  introduction : special section on mining and searching the web,"b liu , s chakrabarti","ieee transactions on knowledge and data engineering ,",2004.0,62
guest editorial,c allocchio,"computer networks ,",2000.0,63
efficient and effective clustering methods for spatial data mining,"tn raymond , j han","proc . of vldb conf ,",,64
peersdi : a peer-to-peer information dissemination system,"k zhao , s zhou , l xu , w cai , a zhou",,,65
editor s notes,r goldstein,"the american statistician ,",1996.0,66
management of multidimensional discrete data in database systems,pasb furtado,,,67
xfilter : efficient filtering of xml documents for selective dissemination of information,"m altinel , m franklin","proceedings of the 26th vldb conference , egypt",,68
optimizing existential queries,"r ramakrishnan , c beeri , r krishnamurthy","& hellip ; . sigact-sigmod principles of database systems conference ( & hellip ; ,",,69
on line processing of compacted relations,"f bancilhon , p richard , m scholl","vldb ,",1982.0,70
1548 classic : a structural data model for objects . 1549 in,"a borgida , rj brachman , dl mcguinness , la resnick",proceedings of the 1989 acm sigmod international conference,,71
semantics and implementation of schema evolution in object-oriented languages,"j banerjee , w kim , hj kim , hk forth",proceedings of the acm sigmod annual,,72
one-dimensional and multi-dimensional substring selectivity estimation,"hv jagadish , o kapitskaia , rt ng , d srivastava","the vldb journal the international journal on very large & hellip ; ,",2000.0,73
data abstraction and transaction processing in the database programming language rapp,"jg hughes , m connolly","acm press frontier series ,",1990.0,74
the ores temporal database system,"b theodolidis , ga ait-braham , j chaudhary , g","proc . acm sigmod conf . on the management of data ,",,75
delaunay : a database visualization system,"wt lucas , if cruz , m radzyminski , m averbuch , k","sigmod rec ,",1997.0,76
reminiscences on influential papers,r snodgrass,"acm transactions on database systems ,",1976.0,77
scheduling real-time transactions,"rk abbott , h garcia-molina","sigmod record ,",1988.0,78
hydice system : implementation and performance,"rw basedow , me anderson","proc . spie ,",1995.0,79
translating update operations from relational to object-oriented databases,"pm reppert , fd morgan , mn toksoz , x zhang , j fong","information and software technology ,",2000.0,80
access pathselectionina relationaldatabase management system,"p selinger , mm astrahan , dd chamberlin , ra lorie ,","proceedings of the acm-sigmod international conference on & hellip ; ,",,81
materialized view selection for multidimensional database,"a shukla , p deshpande","proceedings of 24 international conference on very large & hellip ; ,",,82
bypassing joins in disjunctive queries,acm.org,"vldb ,",1995.0,83
on the minimization of xpath queries,s bottcher,,,84
dynamic multi-resource load balancing in parallel db systems,"e rahm , r marek","international conf . on very large data bases ( vldb ) ,",,85
lore : a database management system for semistructured data,"j mchugh , s abiteboul , r goldman , d quass , j widom","sigmod record ,",1997.0,86
processing of continuous queries over unlimited data streams,"e vossough , jr getta",,,87
introduction,p alston,"see ref ,",1990.0,88
designing relational database systems,r riordan,,1999.0,89
locating data sources in large distributed systems,"l galanis , y wang , sr jeffery , dj dewitt","vldb ,",2003.0,90
buer managementin relational database systems,"gm sacco , m schkolnick","acm transactions on database systems ,",,91
the theory of joins in relational databases,"av ario , c beer , jd ullman","acm trans . database syst ,",,92
reactive consistency control in deductive databases,"g moerkotte , pc lockemann","acm transactions on database systems ,",1991.0,93
relational data-base management systems,dd chamberlin,"acm computing surveys ( csur ) ,",1976.0,94
location-based spatial queries with data sharing in mobile environment,"ws ku , r zimmermann , cn wan",,,95
graphical interaction with heterogeneous databases,"t catarci , g santucci , j cardiff","the vldb journal the international journal on very large & hellip ; ,",1997.0,96
an abstract-object storage manager,"s blott , l relly , hj schek","& hellip ; 1996 acm sigmod int . conf . on management of data , acm sigmod",,97
expressing cultural identity in the learning community : opportunities and challenges,am ortiz,"new directions for teaching and learning ,",2000.0,98
semanticmodelling of object-oriented databases,mbe m & de,"hoe . vldb ,",,99
a fondationfor multidimensional databases,"m gyssens , l lakshmanan",proceedings of the 23rd vldb,,100
sql-like operator for mining association rules,"r meo , g psaila , s ceri , a new","proceedings of international conference on very large & hellip ; ,",,101
decomposition and composition of a relational database,"y tanaka , t tsuda","vldb ,",1977.0,102
event specification in an object-oriented database system,"nh gehani , hv jagadish , o shmueli",proc . acm sigmod international conference on management of,,103
efficient algorithms for processing xpath queries,"g koch , c koch , r pichler","28th vldb conference ,",,104
ditse : an experimental distributed database system,"n cheng-yao , y shyan-ming","information and software technology ,",1996.0,105
implementation of logiclal query languages for databases ( abstract only ),jd ullman,"proceedings of the 1985 acm sigmod international conference & hellip ; ,",1985.0,106
arun swami . efficient similarity search in sequence databases,cf rakeshagrawal,"procs . of the fourth international conference on foundations & hellip ; ,",,107
active rules for xml : a new paradigm for e-services,"a bonifati , s ceri , s paraboschi","the vldb journal the international journal on very large & hellip ; ,",2001.0,108
materialized view selection for multidimensional datasets,"a shukla , p deshpande , jf naughton","vldb ,",1998.0,109
workflow management with service quality guarantees,m gillmann,,,110
xquery implementation in a relational database system,"s pal , i cseri , o seeliger , m rys , g schaller , w",submitted for,,111
behaviour management in database applications,"jy lingat , p nobecourt , c rolland",,,112
logical introduction to databases,j grant,,1987.0,113
efficient parallel data mining for association rules,"js park , ms chen , ps yuâ ? ¦",,,114
research issues in spatial database systems,"o guenther , a buchmann","sigmod-record , acm ,",,115
an algorithm for answering queries efficiently using views,p mitra,,,116
computing iceberg queries ecientlyproc . 1996 int,"m fang , n shivakumar , hg molina , r motwani , jd","conf . very large data bases ,",,117
database research : achievements and opportunities into the 1st century,"a silberschatz , m stonebraker , j ullman","acm sigmod record ,",1996.0,118
special issue on spatial database systems,hj schek,"the vldb journalâ ?? the international journal on very large & hellip ; ,",1994.0,119
business process coordination : state of the art,"u dayal , m hsu , r ladin","trends and open issues . ( 2001 ) at proceedings of the 27th & hellip ; ,",,120
"fast algorithms for mining association rules , proc","r agrawal , r srikant",vldb,,121
reminiscences of an indian official,o cavenagh,,1884.0,122
an asynchronous avoidance-based cache consistency algorithm for client caching dbmss,", k voruganti , rc unrau","vldb ,",1998.0,123
parallel databases : structured query optimization,"n biscondi , a flory , l brunie",,,124
distributed query processing in database systems,"r epstein , m stonebraker , e wong","proc . acm sigmod , austin . tx . june ,",,125
optimization of query evaluation algorithms,sb yao,"acm transactions on database systems ,",1979.0,126
an introduction to spatial database systems,portal.acm.org,,1994.0,127
"workflow management systems : state of the art on research and products , tutorial notes",c mohan,"int . conf . on extending database technology , avignon ,",,128
u-dbms : a database system for managing constantly-evolving data,"r cheng , s singh , s prabhakar","proceedings of the 31st international conference on very & hellip ; ,",2005.0,129
"shoring up persistent applications , acm sigmod international conference on management of data","mj carey , dj dewitt , mj franklinâ ? ¦","minneapolis , minnesota . may ,",,130
current research on real-time databases,o ulusoy,"sigmod record ,",1992.0,131
structures for manipulating proposed updates in object-oriented databases,"m doherty , r hull , m rupawalla","sigmod conference ,",1996.0,132
opportunistic garbage collection,pr wilson,"acm sigplan notices ,",1988.0,133
secure score management for p2p systems,"b yang , sd kamvar , h garcia-molina","technical report , stanford university ,",,134
optimizing real conjunctive queries,"s chaudhuri , m vardi","proc . of the acm sigact-sigmod-sigart symposium on & hellip ; ,",,135
a new algorithm for floorplan desip,"df wong , cl liu",proceedings of the 23rd acm/ieee design automation,,136
supporting multiple access control policies in database systems,"f rabitti , e bertino , w kim , d woelk","acm transactions on database systems ,",,137
tutorial on object-oriented databases,ms jackson,"information and software technology ,",1991.0,138
frontiers of electronic commerce,"r kalakota , ab whinston",,1996.0,139
the effective of gloss for the text database discovery problem,"hgoms luisgravano , a tomasic","proc . of the acm sigmod conference , acm sigmod record ,",,140
incremental maintenance for non-distributive aggregate functions,"t palpanas , r sidle , r cochrane , h pirahesh","vldb ,",2002.0,141
mga : rule-based specification of active object-oriented database applications,"p sawyer , i sommerville","information and software technology ,",1995.0,142
infomaster : an information integration system,"mr genesereth , am keller , om duschka",,,143
mining multi-dimensional association rules using data cubes,"j han , m kamber , j chiang",,,144
a cost model for clustered object-oriented databases,"zh tangot , stg france",,,145
towards a semantic view of an extended entity-relationship model,"u hohenstein , m gogolla","acm transactions on database systems ,",,146
architectures for object data management,ja orenstein,,,147
querying structured text in an xml database,"s al-khalifa , c yu , hv jagadish",,,148
mining optimized association rules for numeric data,"t fukuda , y morimoto , s morishita , t tokuyama","proceedings of the acm sigmod international conference on & hellip ; ,",,149
querying object-oriented datab = es,"m kifer , w kim , y sagiv","proceedings of the acm sigmod ,",,150
answering queries with aggragates using views,"d srivastava , s dar , h jagadish , a levy","proceedings of the international conference on very large & hellip ; ,",,151
query and mining data streams : you only get one look,"m garofalakis , j gehrke , r rastogi",,,152
semantic access : semantic interface for querying databases,"n rishe , j yuan , r athauda , sc chen , x lu , x ma , a","proceedings of the international conference on very large & hellip ; ,",2000.0,153
semantics-preserving dimensionality reduction : rough and fuzzy-rough-based approaches,"r jensen , q shen","ieee transactions on knowledge and data engineering ,",2004.0,154
special section on advances in realtime database systems,a bestavros,"sigmod record ,",,155
the fact system,i horrocks,"lecture notes in computer science ,",1998.0,156
dtl s dataspot : database exploration as easy as browsing the web,"s dar , g entin , s geva , e palmon","sigmod conference ,",1998.0,157
using schematically heterogeneous structures,rj miller,,,158
towards effective and efficient free space management,"ml mcaulie , mj carey , mh solomon",proceedings of the 1996 acm sigmod international conference,,159
sap r/3 : a database application system,"a kemper , d kossmann","sigmod record ,",1998.0,160
"olap , relational , and multidimensional database systems",g colliat,"sigmod record ,",1996.0,161
posse : a framework for optimizing incremental view maintenance at data warehouses,ko abbadi,,1999.0,162
continuously adaptive continuous queries over streams,"s madden , ma shah , jm hellerstein",,,163
"lh * - a scalable , distributed data store","w litwin , ma neimat , da schneider","acm transactions on database systems ( tods ) ,",,164
selectivity estimation using probabilistic models,"l getoor , b taskar , d koller",,,165
the pyramid-technique : towards indexing beyond the curse of dimensionality,"s berchtold , c bã ¶ hm , hp kriegel","proc . acm sigmod int . conf . on management of data , seattle ,",,166
an introduction to structured modeling,am geoffrion,"management science ,",1987.0,167
a model ofauthorization fornext-generationdatabase systems,"f rabitti , e bertino , w kim , d woelk","acm transactions on database systems ,",,168
generalized multi-dimensional data mapping and query processing,"r zhang , p kalnis , bc ooi , kl tan","acm transactions on database systems ,",2005.0,169
"bgigascope : a stream database for network applications , ^ in proceedings of the acm international","c cranor , t johnson , o spataschek , v shkapenyuk",,2003.0,170
the a-tree : an index structure for high-dimensional spaces using relative approximation,"y sakurai , m yoshikawa , s uemura , h kojima","vldb ,",2000.0,171
concurrency control and recovery of multidatabase work flows in telecommunication applications,"ww jin , a sheth","sigmod record ,",1993.0,172
implementation of logic query languages for databases,j ullman,acm trans . on database systems,,173
query processing in a relational database management system,"k youssefi , e wong","vldb ,",1979.0,174
"workflow automation : technology , applications , and research",a sheth,caise 95 tutorial,,175
modeling high-dimensional index structures using sampling,"ak singh , ca lang","proc . acm sigmod intâ ?? l conf . on management of data , santa & hellip ; ,",,176
middle-tier database caching for e-business,"q luo , s krishnamurthy , c mohan , h pirahesh , h woo",,,177
database research at the university of oklahoma,"l brown , r dirckze , s guinepain , c sanchez , b","acm sigmod record ,",1999.0,178
mining generalized association rules with fuzzy taxonomic structures,"q wei , g chen","fuzzy information processing society , 1999 . nafips . 18th & hellip ; ,",1999.0,179
panel : is generic metadata management feasible ?,pa bernstein,"vldb ,",2000.0,180
reminiscences on influential papers .,acms anthology,sigmod,1998.0,181
programming constructs for database system implementation in exodus,"je richardson , mj carey","proceedings of the 1987 acm sigmod international conference & hellip ; ,",1987.0,182
temporal database bibliography update . temporal databases : research and practice,"y wu , s jajodia , x wang",,1998.0,183
database research at nthu and itri .,alp chen,"sigmod record ,",1994.0,184
signature caching in parallel object database systems,k norvag,"information and software technology ,",2002.0,185
multimedia databases coursenotes,a ghafoor,"proceedings of acm multimedia conference ,",,186
", sk gadi p. hayes and s. jajodia ( e & ) : â ?? a consensus glossary of temporal database conceptsâ ??","cs jensen , j cliftord",a chf sig3fod,,187
on-line selectivity estimation for xml path expressions using markov histograms,"l lim , m wang , s padmanabhan , js vitter , r parr",,,188
semantic integration and query of heterogeneous information sources,"s bergamaschi , s castano , m vincini , d beneventano",,,189
report on l irst international workshop on real-time database systems,s son,"sigmod record ,",1996.0,190
"report on the first international conference on ontologies , databases and applications of semantics",k aberer,"sigmod record ,",2003.0,191
gloss : text-source discovery over the internet,"l gravano , h garcia-molina , a tomasic","acm transactions on database systems ,",1999.0,192
lore : a database management systemfor semistruc-tured data,"j mchugh , s abiteboul , r goldman , d quass , j widom","sigmodrecord ,",,193
optimal clip ordering for multi-clip queries,"rt ng , p shum","the vldb journal the international journal on very large & hellip ; ,",1998.0,194
the database language gem,c zmwolo,"acm sigmod ,",,195
fast online dynamic association rule mining,"yk woon , wk ng , a das",,,196
congressional samples for approximate answering of aggregate queries,"s acharya , pb gibbons , v poosala","proceedings of acm sigmod ,",,197
supply chain infrastructures : system integration and information sharing,"mo ball , m ma , l raschid , z zhao","sigmod record ,",2002.0,198
datablitz : a high performance main-memory storage manager,j baulier,,,199
database research : some comments on future directions,"wt hardgrave , eh sibley",,,200
mining multiple-level association rules in large databases,"j han , y fu",,,201
a toolkit for the incremental implementation of heterogeneous database management systems,"p drew , r king , d heimbigner","the vldb journal the international journal on very large & hellip ; ,",1992.0,202
fast algorithms for mining association rules and sequential patterns,r srikant,,1996.0,203
inferring structure in semistructured data,"s nestorov , s abiteboul , r motwani","sigmod record ,",1997.0,204
association rule mining over interval data,"r miller , y yang",,,205
aquery : query language for ordered data,"a lerner , d shasha","optimization techniques , and experiments , in vldb ,",,206
on rules and integrity constraints in database systems,"tw ling , pk teo","information and software technology ,",1992.0,207
monitoring and measuring distributed systems,"d wybranietz , d haban","acm press frontier series ,",1990.0,208
"semistructured data , may 1997",p buneman,tutorial sigmod,,209
optimization and evaluation of array queries,"r ritsch , p baumann","submitted for publication ,",,210
"review - pm3 : an orthogonal persistent systems programming language - design , implementation ,",rt snodgrass,"acm sigmod digital review ,",,211
beyond market basket : generaliing association rules to correlations,"s brin , r motwani , c silverstein",proceedings of the 1997 acm-sigmod conference on management,,212
data warehouse design and maintenance through schema transformations,a marotta,,,213
the pyramid-technique : towards breaking the curse of dimensionality,"s berchtold , hp kriegel","sigmod record ,",1998.0,214
efficiently publishing relational data as xml documents,"j shanmungasundaram , e shekita , r barr , m carey , b","& hellip ; . of the int . conf . on very large data bases ( vldb ) , cairo , & hellip ; ,",,215
on computing correlated aggregates over continual data streams,"j gehrke , f korn , d srivastava","sigmod conference ,",2001.0,216
the bucky object-relational benchmark,mj carey,"sigmod rec ,",1997.0,217
infer : a relational query language without the complexity of sql,"t mason , r lawrence","proceedings of the 14th acm international conference on & hellip ; ,",2005.0,218
value-based scheduling in real-time database systems,"jr haritsa , mj canrey , m livny","the vldb journal the international journal on very large & hellip ; ,",1993.0,219
an array-based algorithm for simultaneous multidimensional aggregates,"z yihong , p deshpande , j naughton",,1997.0,220
editorial,"mt norris , pa martin","bt technology journal ,",1999.0,221
query processing in a distributed relational database system,"r epstein , m stonebraker , e wong","proceedings of the acm sigmod conference on management of & hellip ; ,",,222
a tutorial and survey,s servers,"ieee computer ,",,223
extracting entity profiles from semistructured information spaces,"ra nado , sb huffman","sigmod record ,",1997.0,224
achieving robustness in distributed database systems,"dl eager , kc sevcik","acm transactions on database systems ,",1983.0,225
the impact of the internet on telecommunication architectures,"jp hubaux , c gbaguidi , s koppenhoefer , jyl boudec",,1999.0,226
the design and implementation of the nctuns 1 . 0 network simulator,"sy wang , cl chou , ch huang , cc hwang , zm yang , cc","computer networks ,",2003.0,227
multiobjective query optimization,"ch papadimitriou , m yannakakis",,,228
"design and implementation of advanced knowledge processing in the kbms krisys , mj carey , da","j thomas , s deã?loch , nm mattos","proc . acm sigmod , exhibits program , san jose , ca , sigmod & hellip ; ,",,229
extracting schema from semistructured data,s nestorov,"sigmod conference ,",1998.0,230
fact division chair s message,"ak gupta , d mahr",,,231
query flocks : an extension to association-rule mining,"s tsur , jd ullman , s abiteboul , c clifton , r",,1998.0,232
research issues in federated database systems : report of efdbs 97 workshop,"s conrad , b eaglestone , w hasselbring , m roantree ,","acm sigmod record ,",1997.0,233
devise : integrated querying and visual exploration of large datasets,"m livny , r ramakrishnan , k beyer , g chen , d","sigmod rec ,",1997.0,234
an efficient index structure for high dimensional image data,"js yoo , mk shin , sh lee , ks choi , kh cho , dy hur",,,235
eddies : continuously adaptive query processing,f lã ¶ sch,,,236
an information theory approach to categorical clustering,"d barbara , j couto , y li",submitted for,,237
a query language and optimization techniques for unstructured data,"p buneman , s davidson , g hillebrand , d suciu","sigmod conference ,",1996.0,238
v-trees-a storage method for long vector data,mr mediano,"proceedings of the international conference on very large & hellip ; ,",1994.0,239
administering a distributed database management system,h walker,acm-sigmod,,240
the aditi deductive database system,"j vaghanl , k ramamohanarao , db kemp , z somogyi , pj","the vldb journal the international journal on very large & hellip ; ,",1994.0,241
performance enhancements to a relational database system,"m stonebraker , j woodfill , j ranstrom , m murphy , m","acm transactions on database systems ,",1983.0,242
shared-nothing paralel database systems,"m manish , d dewitt","vldb journal ,",,243
guest editors  introduction,"dc phillips , e callan","international journal of educational research ,",2001.0,244
web services architecture,k mockford,"bt technology journal ,",2004.0,245
"optimization techniques for queries with expensive methods , association of computing machinery",jm hellerstein,"transactions on database systems ,",,246
context management in modeling information systems ( is ),"b garner , r raban","information and software technology ,",1999.0,247
query processing in the objectstore database system,"ja orenstein , s haradhvala , b margulies , d",,,248
xquec : pushing queries to compressed xml data,"a arion , a bonifati","proceedings of the international conference on very large & hellip ; ,",2003.0,249
answering sql queries using views,"s dar , hv jagadish , ay levy , d srivastava","proc . of vldb ,",,250
codasyl data-base management systems,"rw taylor , rl frank","acm computing surveys ( csur ) ,",1976.0,251
garcia-molina . h. crawling the hidden web,s raghavan,tenth international world wide web,,252
stholes : a multidimensional workload-aware histogram in : proceedings of the 2001 acm sigmod,"n bruno , s chaudhuri , l gravano","santa barbara , may ,",,253
"role-based security , object-oriented database & separation of duties","m nyanchama , s osborn","acm sigmod record ,",,254
business intelligence : the management information system next step,lc rodrigues,,,255
odmg-93 : a standard for oodbmss,rgg cattell,"sigmod rec ,",,256
accommodating imprecision in database systems : issues and solutions,a motro,"sigmod record ,",1990.0,257
views in a large scale xml repository - group of 2 & raquo ;,"s cluet , p veltri , d vodislav , b reference","proceedings of the 27th international conference on very & hellip ; ,",2001.0,258
the design and implementation al ingres,"is sloncbrakcr , ew michael , p kreps","acm transactions on database systems ,",,259
join queries with external text sources : execution and optimization techniques,"s chaudhuri , u dayal , tw yan","sigmod conference ,",1995.0,260
report on the 5th international workshop on knowledge representation meets databases ( krdbâ ?? 98 ),a borgida,"sigmod record ,",1998.0,261
sddl : a system for distributed databases,jb rothnieâ ? ¦,"acm trans . database syst ,",,262
scalable parallel data mining for association rules,eh hanâ ? ¦,"sigmod conference ,",1997.0,263
panel : real-time databases,k ramamritham,"proc . of the 17th intl. vldb conf. , barcelona , september ,",,264
solving implication problems m database apphcations,"xh sun , n kamel , l ni",proceedings of the acm sigmod international conference on,,265
sarawagi ; s. : on the computation of multidimesnional aggregates,"s agarwal , r agrawal , pm deshpande , a gupta , jf","proc . 22nd international conference on very large data bases & hellip ; ,",,266
multimedia-miner : a system prototype formultimedia data mining,"or zaiane , j hanâ ? ¦","proc . of1998acm sigmod conf on management of data . seattle ,",,267
event specification in an active object-oriented database,"nh gehani , hv jagadish , o shmueli",,,268
one-to-one web site generation for data-intensive applications,fp cs,proceedings of the 25th international conference on very,,269
querying shapes of histories,"gp rakeshagrawal , el wimmers , m zait","proceedings of the 21st vldb conference ,",,270
xml repository and active views demonstration,"jc mamou , c souza , s abiteboul , v aguilera , s","proceedings of the 25th vldb conference , edinburgh , uk ,",1999.0,271
a distributed interface for the digital library,"sb cousins , sw hassan , a paepcke , t winograd","technical report sidl-wp-1996-0037 , stanford university , 1996 .",,272
xsb as an efficient deductive database engine,"kst swift , ds warren",,1994.0,273
a direct manipulation user interface for querying geographic databases,"jl de oliveira , cb medeiros",,,274
rule-based spatiotemporal query processing for video databases,"me dã ¶ nderler , ã ? ulusoy , u gã 1/4 dã 1/4 kbay","the vldb journal the international journal on very large & hellip ; ,",2004.0,275
"tsichritz ~ s , d. zeta : a relational data base management system","b czarnik , sa schuster , d tsichritzis","proc . acm pacific conf ,",,276
coverage in wireless sensor networks,"m cardei , j wu",,,277
the garlic project,"m tork roth , m arya , lm haas , mj carey , wf cody , r",proc . of acm,,278
features of the orion object-oriented database system,"w kim , n ballou , ht chou , jf garza , d woelk","acm press frontier series ,",1989.0,279
workshop report on experiences using object data management in the real-world,ab chaudhri,"sigmod record ,",1998.0,280
storage and retrieval of xml documents using object-relational databases,"t shimura , m yoshikawa , s uemura",,,281
the generalized pre-grouping transformation : aggregate-query optimization in the presence of,"a tsois , t sellis","proceedings of the international conference on very large & hellip ; ,",2003.0,282
on the formal semantics of statecharts,"d harel , a pnueli , jp schmidt , r sherman","proceedings of the 2nd ieee symposium on logic in computer & hellip ; ,",1987.0,283
lore : a lightweight object repository for semistructured data .,"acms anthology , p edition",,,284
realms : a foundation for spatial data types in database systems,"rh gueting , m schneider","lecture notes in computer science ,",1993.0,285
efficient recursive xml query processing in relational database systems,"s prakash , ss bhowmick , s madria",,,286
meshed multipath routing : an efficient strategy in wireless sensor networks,"s de , c qiao , h wu",computer,,287
tinydb : an acquisitional query processing system for sensor networks,"sr madden , mj franklin , jm hellerstein , w hong","acm transactions on database systems ,",2005.0,288
stonebraker . m. performance analysis of a relational database system,p hawthorn,proceedings acm,,289
content management systems at a glance,j clyman,"pc magazine ,",,290
rs : a high-availability scalable distributed data structure using reed solomon codes,"w litwin , tlh schwarz","res . rep. ceria , u. dauphine ( sept. .",,291
principles of optimally placing data in tertiary storage libraries,"hc paradise , c chania",,,292
mining fuzzy association rules in databases,"cm kuok , a fu , mh wong , nt shatin , h kong",,,293
