title,authors,venue,year,id
ariadne : a system for constructing mediators for internet sources,"j ambite , n ashish , g barish , c knoblock , s minton , p modi , i muslea , a philpot , s tejada",sigmod conference,1998,23
asserting beliefs in mls relational models,"n jukic , s vrbsky",sigmod record,1997,24
exploiting main memory dbms features to improve real-time concurrency control protocols,"ж ulusoy , a buchmann",sigmod record,1996,25
hierarchical compact cube for range-max queries,"s lee , t ling , h li",vldb,2000,26
an efficient algorithm for mining association rules in large databases,"a savasere , e omiecinski , s navathe",vldb,1995,27
client-server paradise,"d dewitt , n kabra , j luo , j patel , j yu",vldb,1994,28
mining fuzzy association rules in databases,"c kuok , a fu , m wong",sigmod record,1998,29
view maintenance in a warehousing environment,"y zhuge , h garcia-molina , j hammer , j widom",sigmod conference,1995,30
re-tree : an efficient index structure for regular expressions,"c chan , m garofalakis , r rastogi",vldb j.,2003,31
picodmbs : scaling down database techniques for the smartcard,"c bobineau , l bouganim , p pucheral , p valduriez",vldb,2000,32
open object database management systems,,,1994,33
query processing in spatial network databases,"d papadias , j zhang , n mamoulis , y tao",vldb,2003,34
dual-buffering strategies in object bases,"a kemper , d kossmann",vldb,1994,35
streaming queries over streaming data,"s chandrasekaran , m franklin",vldb,2002,36
algorithms for mining association rules for binary segmentations of huge categorical databases,"y morimoto , t fukuda , h matsuzawa , t tokuyama , k yoda",vldb,1998,37
the a-tree : an index structure for high-dimensional spaces using relative approximation,"y sakurai , m yoshikawa , s uemura , h kojima",vldb,2000,38
foreword : management of semistructured data,,,1997,39
optimizing queries with universal quantification in object-oriented and object-relational databases,"j clauпen , a kemper , g moerkotte , k peithner",vldb,1997,40
index nesting - an efficient approach to indexing in object-oriented databases,"b ooi , j han , h lu , k tan",vldb j.,1996,41
an efficient method for performing record deletions and updates using index scans,c mohan,vldb,2002,42
keynote address,,,1995,43
extraction of object-oriented structures from existing relational databases,"s ramanathan , j hodges",sigmod record,1997,44
join index hierarchies for supporting efficient navigations in object-oriented databases,"z xie , j han",vldb,1994,45
semantics for update rule programs and implementations in a relational database management system,"l raschid , j lobo",acm trans . database syst .,1996,46
meaningful change detection in structured data,"s chawathe , h garcia-molina",sigmod conference,1997,47
editorial,,,2001,48
data management research at the mitre corporation,"a rosenthal , l seligman , c mccollum , b blaustein , b thuraisingham , e lafferty",sigmod record,1995,49
energy and rate based mac protocol for wireless sensor networks,"r kannan , r kalidindi , s iyengar , v kumar",sigmod record,2003,50
dwms : data warehouse management system,n mohan,vldb,1996,51
information management for genome level bioinformatics,,,2001,52
recovering information from summary data,"c faloutsos , h jagadish , n sidiropoulos",vldb,1997,53
efficiently mining long patterns from databases,r jr.,sigmod conference,1998,54
editor s notes,l liu,sigmod record,2003,55
a performance study of transitive closure algorithms,"s dar , r ramakrishnan",sigmod conference,1994,56
aurora : a data stream management system,"d abadi , d carney , u чetintemel , m cherniack , c convey , c erwin , e galvez , m hatoun , a maskey , a rasin , a singer , m stonebraker , n tatbul , y xing , r yan , s zdonik",sigmod conference,2003,57
chair s message,,,1998,58
database techniques for the world-wide web : a survey,"d florescu , a levy , a mendelzon",sigmod record,1998,59
guest editorial,,,2000,60
special issue on data mining for intrusion detection and threat analysis - guest editor s introduction,,,2001,61
birch : an efficient data clustering method for very large databases,"t zhang , r ramakrishnan , m livny",sigmod conference,1996,62
infomaster : an information integration system,"m genesereth , a keller , o duschka",sigmod conference,1997,63
"olap , relational , and multidimensional database systems",g colliat,sigmod record,1996,64
efficient filtering of xml documents for selective dissemination of information,"m altinel , m franklin",vldb,2000,65
optimizing queries across diverse data sources,"l haas , d kossmann , e wimmers , j yang",vldb,1997,66
groupwise processing of relational queries,"d chatziantoniou , k ross",vldb,1997,67
a data model and data structures for moving objects databases,"l forlizzi , r gќting , e nardelli , m schneider",sigmod conference,2000,68
procedures in object-oriented query languages,"k subieta , y kambayashi , j leszczylowski",vldb,1995,69
one-dimensional and multi-dimensional substring selectivity estimation,"h jagadish , o kapitskaia , r ng , d srivastava",vldb j.,2000,70
secure transaction processing in firm real-time database systems,"b george , j haritsa",sigmod conference,1997,71
the ecrc multi database system,"w jonker , h schќtz",sigmod conference,1995,72
databases and visualization,d keim,sigmod conference,1996,73
reminiscences on influential papers,,,1998,74
"pm3 : an orthogonal persistent systems programming language - design , implementation , performance","a hosking , j chen",vldb,1999,75
relational data sharing in peer-based data management systems,"b ooi , y shu , k tan",sigmod record,2003,76
automated selection of materialized views and indexes in sql databases,"s agrawal , s chaudhuri , v narasayya",vldb,2000,77
bypassing joins in disjunctive queries,"m steinbrunn , k peithner , g moerkotte , a kemper",vldb,1995,78
optimizing the secure evaluation of twig queries,"s cho , s amer-yahia , l lakshmanan , d srivastava",vldb,2002,79
data partitioning and load balancing in parallel disk systems,"p scheuermann , g weikum , p zabback",vldb j.,1998,80
the ores temporal database management system,"b theodoulidis , a ait-braham , g andrianopoulos , j chaudhary , g karvelis , s sou",sigmod conference,1994,81
processing set expressions over continuous update streams,"s ganguly , m garofalakis , r rastogi",sigmod conference,2003,82
introduction to the career forum column,a labrinidis,sigmod record,2001,83
foundations of preferences in database systems,w kieпling,vldb,2002,84
locating data sources in large distributed systems,"l galanis , y wang , s jeffery , d dewitt",vldb,2003,85
on supporting containment queries in relational database management systems,"c zhang , j naughton , d dewitt , q luo , g lohman",sigmod conference,2001,86
discover : keyword search in relational databases,"v hristidis , y papakonstantinou",vldb,2002,87
some issues in design of distributed deductive databases,"m mohania , n sarda",vldb,1994,88
database management systems and the internet,s malaika,vldb,1996,89
spatial queries in dynamic environments,"y tao , d papadias",acm trans . database syst .,2003,90
a scalable architecture for autonomous heterogeneous database interactions,"s milliner , a bouguettaya , m papazoglou",vldb,1995,91
an open storage system for abstract objects,"s blott , l relly , h schek",sigmod conference,1996,92
warehousing workflow data : challenges and opportunities,"a bonifati , f casati , u dayal , m shan",vldb,2001,93
a region splitting strategy for physical database design of multidimensional file organizations,"j lee , y lee , k whang , i song",vldb,1997,94
implementation of magic-sets in a relational database system,"i mumick , h pirahesh",sigmod conference,1994,95
integrating a structured-text retrieval system with an object-oriented database system,"t yan , j annevelink",vldb,1994,96
cache conscious algorithms for relational query processing,"a shatdal , c kant , j naughton",vldb,1994,97
deeds towards a distributed and active real-time database system,"s andler , j hansson , j eriksson , j mellin , m berndtsson , b eftring",sigmod record,1996,98
formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994,99
view management in multimedia databases,"k candan , e lemar , v subrahmanian",vldb j.,2000,100
s3 : similarity search in cad database systems,"s berchtold , h kriegel",sigmod conference,1997,101
active rules for xml : a new paradigm for e-services,"a bonifati , s ceri , s paraboschi",vldb j.,2001,102
materialized view and index selection tool for microsoft sql server 2000,"s agrawal , s chaudhuri , v narasayya",sigmod conference,2001,103
workflow management with service quality guarantees,"m gillmann , g weikum , w wonner",sigmod conference,2002,104
applications of the java programming language to database management,"b burton , v marek",sigmod record,1998,105
an introduction to spatial database systems,r gќting,vldb j.,1994,106
computing iceberg queries efficiently,"m fang , n shivakumar , h garcia-molina , r motwani , j ullman",vldb,1998,107
database research : achievements and opportunities into the 21st century,"a silberschatz , m stonebraker , j ullman",sigmod record,1996,108
introduction ( special issue on multimedia databases ),"m жzsu , s christodoulakis",vldb j.,1998,109
business process cockpit,"m sayal , f casati , u dayal , m shan",vldb,2002,110
the structured information manager : a database system for sgml documents,r sacks-davis,vldb,1996,111
an asynchronous avoidance-based cache consistency algorithm for client caching dbmss,"m жzsu , k voruganti , r unrau",vldb,1998,112
coloring away communication in parallel query optimization,"w hasan , r motwani",vldb,1995,113
query optimization in compressed database systems,"z chen , j gehrke , f korn",sigmod conference,2001,114
simultaneous optimization and evaluation of multiple dimensional queries,"y zhao , p deshpande , j naughton , a shukla",sigmod conference,1998,115
state of the art in workflow management research and products,,,1996,116
theory of answering queries using views,a halevy,sigmod record,2000,117
lore : a database management system for semistructured data,"j mchugh , s abiteboul , r goldman , d quass , j widom",sigmod record,1997,118
report on the 4th international conference on mobile data management,,,2003,119
ordered shared locks for real-time databases,"d agrawal , a abbadi , r jeffers , l lin",vldb j.,1995,120
static detection of security flaws in object-oriented databases,k tajima,sigmod conference,1996,121
concurrent garbage collection in o2,"m skubiszewski , p valduriez",vldb,1997,122
data management for earth system science,"j frew , j dozier",sigmod record,1997,123
optimizing disjunctive queries with expensive predicates,"a kemper , g moerkotte , k peithner , m steinbrunn",sigmod conference,1994,124
a new join algorithm,"d shin , a meltzer",sigmod record,1994,125
supporting multiple view maintenance policies,"l colby , a kawaguchi , d lieuwen , i mumick , k ross",sigmod conference,1997,126
odefs : a file system interface to an object-oriented database,"n gehani , h jagadish , w roome",vldb,1994,127
database technologies for electronic commerce,"r agrawal , r srikant , y xu",vldb,2002,128
automatic discovery of language models for text databases,"j callan , m connell , a du",sigmod conference,1999,129
incremental computation and maintenance of temporal aggregates,"j yang , j widom",vldb j.,2003,130
the trigs active object-oriented database system - an overview,"g kappel , w retschitzegger",sigmod record,1998,131
model-based information integration in a neuroscience mediator system,"b ludфscher , a gupta , m martone",vldb,2000,132
index configuration in object-oriented databases,e bertino,vldb j.,1994,133
an extended entity-relationship model for geographic applications,"t hadzilacos , n tryfona",sigmod record,1997,134
qursed : querying and reporting semistructured data,"y papakonstantinou , m petropoulos , v vassalos",sigmod conference,2002,135
association rules over interval data,"r miller , y yang",sigmod conference,1997,136
a cost model for clustered object-oriented databases,"g gardarin , j gruser , z tang",vldb,1995,137
minicon : a scalable algorithm for answering queries using views,"r pottinger , a halevy",vldb j.,2001,138
querying and mining data streams : you only get one look a tutorial,,,2002,139
semantic access : semantic interface for querying databases,"n rishe , j yuan , r athauda , s chen , x lu , x ma , a vaschillo , a shaposhnikov , d vasilevsky",vldb,2000,140
local dimensionality reduction : a new approach to indexing high dimensional spaces,"k chakrabarti , s mehrotra",vldb,2000,141
secure bufering in firm real-time database systems,"b george , j haritsa",vldb j.,2000,142
the coral deductive system,"r ramakrishnan , d srivastava , s sudarshan , p seshadri",vldb j.,1994,143
dtl s dataspot : database exploration using plain language,"s dar , g entin , s geva , e palmon",vldb,1998,144
advanced xml data processing - guest editor s introduction,k aberer,sigmod record,2001,145
using schematically heterogeneous structures,r miller,sigmod conference,1998,146
towards effective and efficient free space management,"m mcauliffe , m carey , m solomon",sigmod conference,1996,147
vxmlr : a visual xml-relational database system,"a zhou , h lu , s zheng , y liang , l zhang , w ji , z tian",vldb,2001,148
a foundation for multi-dimensional databases,"m gyssens , l lakshmanan",vldb,1997,149
efficient view maintenance at data warehouses,"d agrawal , a abbadi , a singh , t yurek",sigmod conference,1997,150
processing sliding window multi-joins in continuous queries over data streams,"l golab , m жzsu",vldb,2003,151
lh * rs : a high-availability scalable distributed data structure using reed solomon codes,"w litwin , t schwarz",sigmod conference,2000,152
using probabilistic information in data integration,"d florescu , d koller , a levy",vldb,1997,153
optimal grid-clustering : towards breaking the curse of dimensionality in high-dimensional clustering,"a hinneburg , d keim",vldb,1999,154
visionary : a next generation visualization system for databases,m stonebraker,sigmod conference,2003,155
a cost model for query processing in high dimensional data spaces,c bіhm,acm trans . database syst .,2000,156
gigascope : a stream database for network applications,"c cranor , t johnson , o spatscheck , v shkapenyuk",sigmod conference,2003,157
concurrency control in hierarchical multidatabase systems,"s mehrotra , h korth , a silberschatz",vldb j.,1997,158
"workflow automation : applications , technology , and research ( tutorial )",,,1995,159
dbcache : middle-tier database caching for highly scalable e-business architectures,"c bornhіvd , m altinel , s krishnamurthy , c mohan , h pirahesh , b reinwald",sigmod conference,2003,160
research in database engineering at the university of namur,j hainaut,sigmod record,2003,161
parallel mining algorithms for generalized association rules with classification hierarchy,"t shintani , m kitsuregawa",sigmod conference,1998,162
panel : is generic metadata management feasible ?,"p bernstein , l haas , m jarke , e rahm , g wiederhold",vldb,2000,163
temporal database bibliography update,"v tsotras , a kumar",sigmod record,1996,164
database research at the university of oklahoma,"l gruenwald , l brown , r dirckze , s guinepain , c sсnchez , b summers , s vanichayobon",sigmod record,1999,165
managing intra-operator parallelism in parallel database systems,"m mehta , d dewitt",vldb,1995,166
mpeg-7 and multimedia database systems,h kosch,sigmod record,2002,167
a consensus glossary of temporal database concepts,"c jensen , j clifford , r elmasri , s gadia , p hayes , s jajodia",sigmod record,1994,168
wavelet-based histograms for selectivity estimation,"y matias , j vitter , m wang",sigmod conference,1998,169
using semantic values to falilitate interoperability among heterogeneous information systems,"e sciore , m siegel , a rosenthal",acm trans . database syst .,1994,170
webdb  98 : international workshop on the web and databases,,,1998,171
"report on the first international conference on ontologies , databases and applications of semantics",,,2003,172
gloss : text-source discovery over the internet,"l gravano , h garcia-molina , a tomasic",acm trans . database syst .,1999,173
optimal clip ordering for multi-clip queries,"r ng , p shum",vldb j.,1998,174
surfing wavelets on streams : one-pass summaries for approximate aggregate queries,"a gilbert , y kotidis , s muthukrishnan , m strauss",vldb,2001,175
supply chain infrastructures : system integration and information sharing,"m ball , m ma , l raschid , z zhao",sigmod record,2002,176
quickstore : a high performance mapped object store,"s white , d dewitt",sigmod conference,1994,177
"panel : future directions of database research - the vldb broadening strategy , part 1",h schek,vldb,2000,178
discovery of multiple-level association rules from large databases,"j han , y fu",vldb,1995,179
efficient algorithms for minimizing tree pattern queries,p ramanan,sigmod conference,2002,180
describing semistructured data,l cardelli,sigmod record,2001,181
scalable parallel data mining for association rules,"e han , g karypis , v kumar",sigmod conference,1997,182
"aquery : query language for ordered data , optimization techniques , and experiments","a lerner , d shasha",vldb,2003,183
capturing both types and constraints in data integration,"m benedikt , c chan , w fan , j freire , r rastogi",sigmod conference,2003,184
distributed top-k monitoring,"b babcock , c olston",sigmod conference,2003,185
infering structure in semistructured data,"s nestorov , s abiteboul , r motwani",sigmod record,1997,186
efficient evaluation of xml middle-ware queries,"m fernandez , a morishima , d suciu",sigmod conference,2001,187
beyond market baskets : generalizing association rules to correlations,"s brin , r motwani , c silverstein",sigmod conference,1997,188
data extraction and transformation for the data warehouse,c squire,sigmod conference,1995,189
silkroute : a framework for publishing relational data in xml,"m fernandez , y kadiyska , d suciu , a morishima , w tan",acm trans . database syst .,2002,190
on computing correlated aggregates over continual data streams,"j gehrke , f korn , d srivastava",sigmod conference,2001,191
the bucky object-relational benchmark ( experience paper ),"m carey , d dewitt , j naughton , m asgarian , p brown , j gehrke , d shah",sigmod conference,1997,192
on completeness of historical relational query languages,"j clifford , a croker , a tuzhilin",acm trans . database syst .,1994,193
query unnesting in object-oriented databases,l fegaras,sigmod conference,1998,194
an annotated bibliography on real-time database systems,ж ulusoy,sigmod record,1995,195
a one-pass aggregation algorithm with the optimal buffer size in multidimensional olap,"y lee , k whang , y moon , i song",vldb,2002,196
a tsql2 tutorial,"nodgrass , i ahn , g ariav , d batory , j clifford , c dyreson , r elmasri , f grandi , c jensen , w kфfer , n kline , k kulkarni , t leung , n lorentzos , j roddick , a segev , m soo , s sripada",sigmod record,1994,197
extracting structured data from web pages,"a arasu , h garcia-molina",sigmod conference,2003,198
revisiting commit processing in distributed database systems,"r gupta , j haritsa , k ramamritham",sigmod conference,1997,199
the role of b2b engines in b2b integration architectures,c bussler,sigmod record,2002,200
the design and implementation of a sequence database system,"p seshadri , m livny , r ramakrishnan",vldb,1996,201
query optimization for xml,"j mchugh , j widom",vldb,1999,202
the design and implementation of k : a high-level knowledge-base programming language of osam * . kbms,"y shyy , j arroyo , s su , h lam",vldb j.,1996,203
query rewriting for semistructured data,"y papakonstantinou , v vassalos",sigmod conference,1999,204
query flocks : a generalization of association-rule mining,"s tsur , j ullman , s abiteboul , c clifton , r motwani , s nestorov , a rosenthal",sigmod conference,1998,205
research issues in active database systems : report from the closing panel at ride-ads 94,j widom,sigmod record,1994,206
devise : integrated querying and visual exploration of large datasets ( demo abstract ),"m livny , r ramakrishnan , k beyer , g chen , d donjerkovic , s lawande , j myllymaki , r wenger",sigmod conference,1997,207
the tv-tree : an index structure for high-dimensional data,"k lin , h jagadish , c faloutsos",vldb j.,1994,208
continuously adaptive continuous queries over streams,"s madden , m shah , j hellerstein , v raman",sigmod conference,2002,209
the implementation and performance of compressed databases,"t westmann , d kossmann , s helmer , g moerkotte",sigmod record,2000,210
clustering categorical data : an approach based on dynamical systems,"d gibson , j kleinberg , p raghavan",vldb j.,2000,211
"a query language for multidimensional arrays : design , implementation , and optimization techniques","l libkin , r machlin , l wong",sigmod conference,1996,212
v-trees - a storage method for long vector data,"m mediano , m casanova , m dreux",vldb,1994,213
an introduction to deductive database languages and systems,"k ramamohanarao , j harland",vldb j.,1994,214
a system for watermarking relational databases,"r agrawal , p haas , j kiernan",sigmod conference,2003,215
dynamic load balancing in hierarchical parallel database systems,"l bouganim , d florescu , p valduriez",vldb,1996,216
guest editor s introduction,,,2002,217
architectures for internal web services deployment,o shmueli,vldb,2001,218
query execution techniques for caching expensive methods,"j hellerstein , j naughton",sigmod conference,1996,219
integrating modelling systems for environmental management information systems,"d abel , k taylor , d kuo",sigmod record,1997,220
xpress : a queriable compression for xml data,"j min , m park , c chung",sigmod conference,2003,221
answering queries with aggregation using views,"d srivastava , s dar , h jagadish , a levy",vldb,1996,222
constructing the next 100 database management systems,"a geppert , k dittrich",sigmod record,1994,223
crawling the hidden web,"s raghavan , h garcia-molina",vldb,2001,224
stholes : a multidimensional workload-aware histogram,"n bruno , s chaudhuri , l gravano",sigmod conference,2001,225
odmg-93 : a standard for object-oriented dbmss,r cattell,sigmod conference,1994,226
solving satisfiability and implication problems in database systems,"s guo , w sun , m weiss",acm trans . database syst .,1996,227
views in a large scale xml repository,"s cluet , p veltri , d vodislav",vldb,2001,228
"preference sql - design , implementation , experiences","w kieпling , g kіstler",vldb,2002,229
the araneus web-base management system,"g mecca , p atzeni , a masci , p merialdo , g sindoni",sigmod conference,1998,230
optimization techniques for queries with expensive methods,j hellerstein,acm trans . database syst .,1998,231
krdb  98 : the 5th international workshop on knowledge representation meets databases,,,1998,232
visdb : a system for visualizing large databases,"d keim , h kriegel",sigmod conference,1995,233
petabyte databases,,,1999,234
on the computation of multidimensional aggregates,"s agarwal , r agrawal , p deshpande , a gupta , j naughton , r ramakrishnan , s sarawagi",vldb,1996,235
disima : a distributed and interoperable image database system,"v oria , m жzsu , p iglinski , s lin , b yao",sigmod conference,2000,236
the algres testbed of chimera : an active object-oriented database system,"s ceri , p fraternali , s paraboschi , g psaila",sigmod conference,1995,237
"data-driven , one-to-one web site generation for data-intensive applications","s ceri , p fraternali , s paraboschi",vldb,1999,238
querying network directories,"h jagadish , l lakshmanan , t milo , d srivastava , d vista",sigmod conference,1999,239
xml repository and active views demonstration,"s abiteboul , v aguilera , s ailleret , b amann , s cluet , b hills , f hubert , j mamou , a marian , l mignet , t milo , c santos , b tessier , a vercoustre",vldb,1999,240
a user-centered interface for querying distributed multimedia databases,"i cruz , k james",sigmod conference,1999,241
xsb as a deductive database,"k sagonas , t swift , d warren",sigmod conference,1994,242
spatial and temporal content-based access to hypervideo databases,"h jiang , a elmagarmid",vldb j.,1998,243
distributing queries over low-power wireless sensor networks,"s madden , j hellerstein",sigmod conference,2002,244
the infosleuth project,"r jr. , w bohrer , r brice , a cichocki , j fowler , a helal , v kashyap , t ksiezyk , g martin , m nodine , m rashid , m rusinkiewicz , r shea , c unnikrishnan , a unruh , d woelk",sigmod conference,1997,245
workshop report on experiences using object data management in the real-world,,,1998,246
sideway value algebra for object-relational databases,"g жzsoyoglu , a al-hamdani , i altingіvde , s жzel , ж ulusoy , z жzsoyoglu",vldb,2002,247
query optimization in the presence of limited access patterns,"d florescu , a levy , i manolescu , d suciu",sigmod conference,1999,248
xquery formal semantics : state and challenges,p fankhauser,sigmod record,2001,249
lore : a lightweight object repository for semistructured data,"d quass , j widom , r goldman , k haas , q luo , j mchugh , s nestorov , a rajaraman , h rivero , s abiteboul , j ullman , j wiener",sigmod conference,1996,250
chorochronos : a research network for spatiotemporal database systems,"a frank , s grumbach , r gќting , c jensen , m koubarakis , n lorentzos , y manolopoulos , e nardelli , b pernici , h schek , m scholl , t sellis , b theodoulidis , p widmayer",sigmod record,1999,251
power efficient data gathering and aggregation in wireless sensor networks,"h tan , i korpeoglu",sigmod record,2003,252
the design of an acquisitional query processor for sensor networks,"s madden , m franklin , j hellerstein , w hong",sigmod conference,2003,253
data grid management systems,"a jagatheesan , a rajasekar",sigmod conference,2003,254
a logical foundation for deductive object-oriented databases,"m liu , g dobbie , t ling",acm trans . database syst .,2002,255
"lh * - a scalable , distributed data structure","w litwin , m neimat , d schneider",acm trans . database syst .,1996,256
principles of optimally placing data in tertiary storage libraries,"s christodoulakis , p triantafillou , f zioga",vldb,1997,257
a single pass computing engine for interactive analysis of vldbs,t mihalisin,vldb,1998,258
obtaining complete answers from incomplete databases,a levy,vldb,1996,259
introduction to constraint databases - book review,,,2002,260
what is the data warehousing problem ? ( are materialized views the answer ? ),"a gupta , i mumick",vldb,1996,261
watchman : a data warehouse intelligent cache manager,"p scheuermann , j shim , r vingralek",vldb,1996,262
approximate medians and other quantiles in one pass and with limited memory,"g manku , s rajagopalan , b lindsay",sigmod conference,1998,263
querying multiple features of groups in relational databases,"d chatziantoniou , k ross",vldb,1996,264
the sr-tree : an index structure for high-dimensional nearest neighbor queries,"n katayama , s satoh",sigmod conference,1997,265
functional-join processing,"r braumandl , j clauпen , a kemper , d kossmann",vldb j.,2000,266
supporting incremental join queries on ranked inputs,"a natsev , y chang , j smith , c li , j vitter",vldb,2001,267
priority assignment in real-time active databases,"r sivasankaran , j stankovic , d towsley , b purimetla , k ramamritham",vldb j.,1996,268
improving adaptable similarity query processing by using approximations,"m ankerst , b braunmќller , h kriegel , t seidl",vldb,1998,269
information sharing across private databases,"r agrawal , a evfimievski , r srikant",sigmod conference,2003,270
improving timeliness in real-time secure database systems,"s son , r david , b thuraisingham",sigmod record,1996,271
data management for pervasive computing,"m cherniack , m franklin , s zdonik",vldb,2001,272
approximate frequency counts over data streams,"g manku , r motwani",vldb,2002,273
on the computation of relational view complements,"j lechtenbіrger , g vossen",acm trans . database syst .,2003,274
the network is the database : data management for highly distributed systems,"j navas , m wynblatt",sigmod conference,2001,275
density biased sampling : an improved method for data mining and clustering,"c palmer , c faloutsos",sigmod conference,2000,276
generating efficient plans for queries using views,"f afrati , c li , j ullman",sigmod conference,2001,277
sampling large databases for association rules,h toivonen,vldb,1996,278
querying atsql databases with temporal logic,"j chomicki , d toman , m bіhlen",acm trans . database syst .,2001,279
report on the 1995 international workshop on temporal databases,,,1995,280
"probabilistic temporal databases , i : algebra","a dekhtyar , r ross , v subrahmanian",acm trans . database syst .,2001,281
panel : querying networked databases,"n koudas , d srivastava",sigmod conference,2003,282
the n-tier hub technology,"r sommer , t gulledge , d bailey",sigmod record,2002,283
constraint databases : a tutorial introduction,j bussche,sigmod record,2000,284
rainbow : distributed database system for classroom education and experimental research,"a helal , h li",vldb,2000,285
data warehousing and olap for decision support ( tutorial ),,,1997,286
a hypertext query language for images,l yang,sigmod record,1994,287
idea : interactive data exploration and analysis,"p selfridge , d srivastava , l wilson",sigmod conference,1996,288
lockx : a system for efficiently querying secure xml,"s cho , s amer-yahia , l lakshmanan , d srivastava",sigmod conference,2003,289
space optimization in deductive databases,"d srivastava , s sudarshan , r ramakrishnan , j naughton",acm trans . database syst .,1995,290
m-tree : an efficient access method for similarity search in metric spaces,"p ciaccia , m patella , p zezula",vldb,1997,291
mining quantitative association rules in large relational tables,"r srikant , r agrawal",sigmod conference,1996,292
dbmss on a modern processor : where does time go ?,"a ailamaki , d dewitt , m hill , d wood",vldb,1999,293
repositories and object oriented databases,p bernstein,sigmod record,1998,294
spire : a progressive content-based spatial image retrieval engine,"c li , l bergman , v castelli , j smith",sigmod conference,2000,295
"watermarking relational data : framework , algorithms and analysis","r agrawal , p haas , j kiernan",vldb j.,2003,296
adaptive algorithms for set containment joins,"s melnik , h garcia-molina",acm trans . database syst .,2003,297
xperanto : middleware for publishing object-relational data as xml documents,"m carey , j kiernan , j shanmugasundaram , e shekita , s subramanian",vldb,2000,298
fast incremental maintenance of approximate histograms,"p gibbons , y matias , v poosala",vldb,1997,299
cache tables : paving the way for an adaptive database cache,"m altinel , c bornhіvd , s krishnamurthy , c mohan , h pirahesh , b reinwald",vldb,2003,300
influence sets based on reverse nearest neighbor queries,"f korn , s muthukrishnan",sigmod conference,2000,301
designing wrapper components for e-services in integrating heterogeneous systems,"m mecella , b pernici",vldb j.,2001,302
theory of dependence values,r meo,acm trans . database syst .,2000,303
high-performance sorting on networks of workstations,"a arpaci-dusseau , r arpaci-dusseau , d culler , j hellerstein , d patterson",sigmod conference,1997,304
text databases : a survey of text models and systems,a loeffen,sigmod record,1994,305
formal aspects of concurrency control in long-duration transaction systems using the nt/pv model,"h korth , g speegle",acm trans . database syst .,1994,306
similarity based retrieval of pictures using indices on spatial relationships,"a sistla , c yu , c liu , k liu",vldb,1995,307
a framework for information visualisation,"j kennedy , k mitchell , p barclay",sigmod record,1996,308
optimizing multi-feature queries for image databases,"u gќntzer , w balke , w kieпling",vldb,2000,309
algorithms for materialized view design in data warehousing environment,"j yang , k karlapalem , q li",vldb,1997,310
the database and information system research group at the university of ulm,"p dadam , w klas",sigmod record,1997,311
bluetooth-based sensor networks,"p bonnet , a beaufour , m dydensborg , m leopold",sigmod record,2003,312
data quality and data cleaning : an overview,"t johnson , t dasu",sigmod conference,2003,313
min-max compression methods for medical image databases,"k karadimitriou , j tyler",sigmod record,1997,314
supporting efficient multimedia database exploration,"w li , k candan , k hirata , y hara",vldb j.,2001,315
rp * : a family of order preserving scalable distributed data structures,"w litwin , m neimat , d schneider",vldb,1994,316
implementing data cubes efficiently,"v harinarayan , a rajaraman , j ullman",sigmod conference,1996,317
