,id,label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year
67,67,0,"olap , relational , and multidimensional database systems",g colliat,sigmod record,1996,management of multidimensional discrete data in database systems,pasb furtado,,
68,68,1,efficient filtering of xml documents for selective dissemination of information,"m altinel , m franklin",vldb,2000,xfilter : efficient filtering of xml documents for selective dissemination of information,"m altinel , m franklin","proceedings of the 26th vldb conference , egypt",
69,69,0,optimizing queries across diverse data sources,"l haas , d kossmann , e wimmers , j yang",vldb,1997,optimizing existential queries,"r ramakrishnan , c beeri , r krishnamurthy","& hellip ; . sigact-sigmod principles of database systems conference ( & hellip ; ,",
70,70,0,groupwise processing of relational queries,"d chatziantoniou , k ross",vldb,1997,on line processing of compacted relations,"f bancilhon , p richard , m scholl","vldb ,",1982.0
71,71,0,a data model and data structures for moving objects databases,"l forlizzi , r gќting , e nardelli , m schneider",sigmod conference,2000,1548 classic : a structural data model for objects . 1549 in,"a borgida , rj brachman , dl mcguinness , la resnick",proceedings of the 1989 acm sigmod international conference,
72,72,0,procedures in object-oriented query languages,"k subieta , y kambayashi , j leszczylowski",vldb,1995,semantics and implementation of schema evolution in object-oriented languages,"j banerjee , w kim , hj kim , hk forth",proceedings of the acm sigmod annual,
73,73,1,one-dimensional and multi-dimensional substring selectivity estimation,"h jagadish , o kapitskaia , r ng , d srivastava",vldb j.,2000,one-dimensional and multi-dimensional substring selectivity estimation,"hv jagadish , o kapitskaia , rt ng , d srivastava","the vldb journal the international journal on very large & hellip ; ,",2000.0
74,74,0,secure transaction processing in firm real-time database systems,"b george , j haritsa",sigmod conference,1997,data abstraction and transaction processing in the database programming language rapp,"jg hughes , m connolly","acm press frontier series ,",1990.0
75,75,0,the ecrc multi database system,"w jonker , h schќtz",sigmod conference,1995,the ores temporal database system,"b theodolidis , ga ait-braham , j chaudhary , g","proc . acm sigmod conf . on the management of data ,",
76,76,0,databases and visualization,d keim,sigmod conference,1996,delaunay : a database visualization system,"wt lucas , if cruz , m radzyminski , m averbuch , k","sigmod rec ,",1997.0
77,77,0,reminiscences on influential papers,,,1998,reminiscences on influential papers,r snodgrass,"acm transactions on database systems ,",1976.0
78,78,0,secure transaction processing in firm real-time database systems,"b george , j haritsa",sigmod conference,1997,scheduling real-time transactions,"rk abbott , h garcia-molina","sigmod record ,",1988.0
79,79,0,"pm3 : an orthogonal persistent systems programming language - design , implementation , performance","a hosking , j chen",vldb,1999,hydice system : implementation and performance,"rw basedow , me anderson","proc . spie ,",1995.0
80,80,0,extraction of object-oriented structures from existing relational databases,"s ramanathan , j hodges",sigmod record,1997,translating update operations from relational to object-oriented databases,"pm reppert , fd morgan , mn toksoz , x zhang , j fong","information and software technology ,",2000.0
81,81,0,relational data sharing in peer-based data management systems,"b ooi , y shu , k tan",sigmod record,2003,access pathselectionina relationaldatabase management system,"p selinger , mm astrahan , dd chamberlin , ra lorie ,","proceedings of the acm-sigmod international conference on & hellip ; ,",
82,82,0,automated selection of materialized views and indexes in sql databases,"s agrawal , s chaudhuri , v narasayya",vldb,2000,materialized view selection for multidimensional database,"a shukla , p deshpande","proceedings of 24 international conference on very large & hellip ; ,",
83,83,1,bypassing joins in disjunctive queries,"m steinbrunn , k peithner , g moerkotte , a kemper",vldb,1995,bypassing joins in disjunctive queries,acm.org,"vldb ,",1995.0
84,84,0,optimizing the secure evaluation of twig queries,"s cho , s amer-yahia , l lakshmanan , d srivastava",vldb,2002,on the minimization of xpath queries,s bottcher,,
85,85,0,data partitioning and load balancing in parallel disk systems,"p scheuermann , g weikum , p zabback",vldb j.,1998,dynamic multi-resource load balancing in parallel db systems,"e rahm , r marek","international conf . on very large data bases ( vldb ) ,",
86,86,0,the ores temporal database management system,"b theodoulidis , a ait-braham , g andrianopoulos , j chaudhary , g karvelis , s sou",sigmod conference,1994,lore : a database management system for semistructured data,"j mchugh , s abiteboul , r goldman , d quass , j widom","sigmod record ,",1997.0
87,87,0,keynote address,,,1995,keynote address,r reich,"& hellip ; labor , bureau of international labor affairs , international & hellip ; ,",
88,88,0,processing set expressions over continuous update streams,"s ganguly , m garofalakis , r rastogi",sigmod conference,2003,processing of continuous queries over unlimited data streams,"e vossough , jr getta",,
89,89,0,introduction to the career forum column,a labrinidis,sigmod record,2001,introduction,p alston,"see ref ,",1990.0
90,90,0,foundations of preferences in database systems,w kieпling,vldb,2002,designing relational database systems,r riordan,,1999.0
91,91,1,locating data sources in large distributed systems,"l galanis , y wang , s jeffery , d dewitt",vldb,2003,locating data sources in large distributed systems,"l galanis , y wang , sr jeffery , dj dewitt","vldb ,",2003.0
92,92,0,on supporting containment queries in relational database management systems,"c zhang , j naughton , d dewitt , q luo , g lohman",sigmod conference,2001,buer managementin relational database systems,"gm sacco , m schkolnick","acm transactions on database systems ,",
93,93,0,discover : keyword search in relational databases,"v hristidis , y papakonstantinou",vldb,2002,the theory of joins in relational databases,"av ario , c beer , jd ullman","acm trans . database syst ,",
94,94,0,some issues in design of distributed deductive databases,"m mohania , n sarda",vldb,1994,reactive consistency control in deductive databases,"g moerkotte , pc lockemann","acm transactions on database systems ,",1991.0
95,95,0,database management systems and the internet,s malaika,vldb,1996,relational data-base management systems,dd chamberlin,"acm computing surveys ( csur ) ,",1976.0
96,96,0,guest editorial,,,2000,guest editorial,rc holte,"machine learning ,",2001.0
97,97,0,spatial queries in dynamic environments,"y tao , d papadias",acm trans . database syst .,2003,location-based spatial queries with data sharing in mobile environment,"ws ku , r zimmermann , cn wan",,
98,98,0,a scalable architecture for autonomous heterogeneous database interactions,"s milliner , a bouguettaya , m papazoglou",vldb,1995,graphical interaction with heterogeneous databases,"t catarci , g santucci , j cardiff","the vldb journal the international journal on very large & hellip ; ,",1997.0
99,99,1,an open storage system for abstract objects,"s blott , l relly , h schek",sigmod conference,1996,an abstract-object storage manager,"s blott , l relly , hj schek","& hellip ; 1996 acm sigmod int . conf . on management of data , acm sigmod",
100,100,0,warehousing workflow data : challenges and opportunities,"a bonifati , f casati , u dayal , m shan",vldb,2001,expressing cultural identity in the learning community : opportunities and challenges,am ortiz,"new directions for teaching and learning ,",2000.0
101,101,0,extraction of object-oriented structures from existing relational databases,"s ramanathan , j hodges",sigmod record,1997,semanticmodelling of object-oriented databases,mbe m & de,"hoe . vldb ,",
102,102,0,a region splitting strategy for physical database design of multidimensional file organizations,"j lee , y lee , k whang , i song",vldb,1997,a fondationfor multidimensional databases,"m gyssens , l lakshmanan",proceedings of the 23rd vldb,
103,103,0,fast algorithms for mining association rules in large databases,"r agrawal , r srikant",vldb,1994,sql-like operator for mining association rules,"r meo , g psaila , s ceri , a new","proceedings of international conference on very large & hellip ; ,",
104,104,0,implementation of magic-sets in a relational database system,"i mumick , h pirahesh",sigmod conference,1994,decomposition and composition of a relational database,"y tanaka , t tsuda","vldb ,",1977.0
105,105,0,integrating a structured-text retrieval system with an object-oriented database system,"t yan , j annevelink",vldb,1994,event specification in an object-oriented database system,"nh gehani , hv jagadish , o shmueli",proc . acm sigmod international conference on management of,
106,106,0,cache conscious algorithms for relational query processing,"a shatdal , c kant , j naughton",vldb,1994,efficient algorithms for processing xpath queries,"g koch , c koch , r pichler","28th vldb conference ,",
107,107,0,deeds towards a distributed and active real-time database system,"s andler , j hansson , j eriksson , j mellin , m berndtsson , b eftring",sigmod record,1996,ditse : an experimental distributed database system,"n cheng-yao , y shyan-ming","information and software technology ,",1996.0
108,108,0,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994,implementation of logiclal query languages for databases ( abstract only ),jd ullman,"proceedings of the 1985 acm sigmod international conference & hellip ; ,",1985.0
109,109,0,view management in multimedia databases,"k candan , e lemar , v subrahmanian",vldb j.,2000,management of multidimensional discrete data in database systems,pasb furtado,,
110,110,0,s3 : similarity search in cad database systems,"s berchtold , h kriegel",sigmod conference,1997,arun swami . efficient similarity search in sequence databases,cf rakeshagrawal,"procs . of the fourth international conference on foundations & hellip ; ,",
111,111,1,active rules for xml : a new paradigm for e-services,"a bonifati , s ceri , s paraboschi",vldb j.,2001,active rules for xml : a new paradigm for e-services,"a bonifati , s ceri , s paraboschi","the vldb journal the international journal on very large & hellip ; ,",2001.0
112,112,0,materialized view and index selection tool for microsoft sql server 2000,"s agrawal , s chaudhuri , v narasayya",sigmod conference,2001,materialized view selection for multidimensional datasets,"a shukla , p deshpande , jf naughton","vldb ,",1998.0
113,113,1,workflow management with service quality guarantees,"m gillmann , g weikum , w wonner",sigmod conference,2002,workflow management with service quality guarantees,m gillmann,,
114,114,0,on supporting containment queries in relational database management systems,"c zhang , j naughton , d dewitt , q luo , g lohman",sigmod conference,2001,xquery implementation in a relational database system,"s pal , i cseri , o seeliger , m rys , g schaller , w",submitted for,
115,115,0,applications of the java programming language to database management,"b burton , v marek",sigmod record,1998,behaviour management in database applications,"jy lingat , p nobecourt , c rolland",,
116,116,0,an introduction to spatial database systems,r gќting,vldb j.,1994,logical introduction to databases,j grant,,1987.0
117,117,0,mining fuzzy association rules in databases,"c kuok , a fu , m wong",sigmod record,1998,efficient parallel data mining for association rules,"js park , ms chen , ps yuâ ? ¦",,
118,118,0,an introduction to spatial database systems,r gќting,vldb j.,1994,research issues in spatial database systems,"o guenther , a buchmann","sigmod-record , acm ,",
119,119,0,answering queries using views : a survey,a halevy,vldb j.,2001,an algorithm for answering queries efficiently using views,p mitra,,
120,120,1,computing iceberg queries efficiently,"m fang , n shivakumar , h garcia-molina , r motwani , j ullman",vldb,1998,computing iceberg queries ecientlyproc . 1996 int,"m fang , n shivakumar , hg molina , r motwani , jd","conf . very large data bases ,",
121,121,1,database research : achievements and opportunities into the 21st century,"a silberschatz , m stonebraker , j ullman",sigmod record,1996,database research : achievements and opportunities into the 1st century,"a silberschatz , m stonebraker , j ullman","acm sigmod record ,",1996.0
122,122,0,introduction ( special issue on multimedia databases ),"m жzsu , s christodoulakis",vldb j.,1998,special issue on spatial database systems,hj schek,"the vldb journalâ ?? the international journal on very large & hellip ; ,",1994.0
123,123,0,business process cockpit,"m sayal , f casati , u dayal , m shan",vldb,2002,business process coordination : state of the art,"u dayal , m hsu , r ladin","trends and open issues . ( 2001 ) at proceedings of the 27th & hellip ; ,",
124,124,0,mining generalized association rules,"r srikant , r agrawal",vldb,1995,"fast algorithms for mining association rules , proc","r agrawal , r srikant",vldb,
125,125,0,reminiscences on influential papers,,,2000,reminiscences of an indian official,o cavenagh,,1884.0
126,126,0,the structured information manager : a database system for sgml documents,r sacks-davis,vldb,1996,lore : a database management system for semistructured data,"s abiteboul , j mchugh , d quass , j widom , r goldman","sigmod record ,",
127,127,1,an asynchronous avoidance-based cache consistency algorithm for client caching dbmss,"m жzsu , k voruganti , r unrau",vldb,1998,an asynchronous avoidance-based cache consistency algorithm for client caching dbmss,", k voruganti , rc unrau","vldb ,",1998.0
128,128,0,coloring away communication in parallel query optimization,"w hasan , r motwani",vldb,1995,parallel databases : structured query optimization,"n biscondi , a flory , l brunie",,
129,129,0,query optimization in compressed database systems,"z chen , j gehrke , f korn",sigmod conference,2001,distributed query processing in database systems,"r epstein , m stonebraker , e wong","proc . acm sigmod , austin . tx . june ,",
130,130,0,simultaneous optimization and evaluation of multiple dimensional queries,"y zhao , p deshpande , j naughton , a shukla",sigmod conference,1998,optimization of query evaluation algorithms,sb yao,"acm transactions on database systems ,",1979.0
131,131,1,an introduction to spatial database systems,r gќting,vldb j.,1994,an introduction to spatial database systems,portal.acm.org,,1994.0
132,132,1,state of the art in workflow management research and products,,,1996,"workflow management systems : state of the art on research and products , tutorial notes",c mohan,"int . conf . on extending database technology , avignon ,",
133,133,0,theory of answering queries using views,a halevy,sigmod record,2000,a scalable algorithm for answering queries using views,ay levy,,
134,134,0,lore : a database management system for semistructured data,"j mchugh , s abiteboul , r goldman , d quass , j widom",sigmod record,1997,u-dbms : a database system for managing constantly-evolving data,"r cheng , s singh , s prabhakar","proceedings of the 31st international conference on very & hellip ; ,",2005.0
135,135,0,report on the 4th international conference on mobile data management,,,2003,"shoring up persistent applications , acm sigmod international conference on management of data","mj carey , dj dewitt , mj franklinâ ? ¦","minneapolis , minnesota . may ,",
136,136,0,ordered shared locks for real-time databases,"d agrawal , a abbadi , r jeffers , l lin",vldb j.,1995,current research on real-time databases,o ulusoy,"sigmod record ,",1992.0
137,137,1,reminiscences on influential papers,,,2001,reminiscences on influential papers,ka ross,sigmod,2002.0
138,138,0,static detection of security flaws in object-oriented databases,k tajima,sigmod conference,1996,structures for manipulating proposed updates in object-oriented databases,"m doherty , r hull , m rupawalla","sigmod conference ,",1996.0
139,139,0,concurrent garbage collection in o2,"m skubiszewski , p valduriez",vldb,1997,opportunistic garbage collection,pr wilson,"acm sigplan notices ,",1988.0
140,140,0,data management for earth system science,"j frew , j dozier",sigmod record,1997,secure score management for p2p systems,"b yang , sd kamvar , h garcia-molina","technical report , stanford university ,",
141,141,0,optimizing disjunctive queries with expensive predicates,"a kemper , g moerkotte , k peithner , m steinbrunn",sigmod conference,1994,optimizing real conjunctive queries,"s chaudhuri , m vardi","proc . of the acm sigact-sigmod-sigart symposium on & hellip ; ,",
142,142,0,a new join algorithm,"d shin , a meltzer",sigmod record,1994,a new algorithm for floorplan desip,"df wong , cl liu",proceedings of the 23rd acm/ieee design automation,
143,143,0,supporting multiple view maintenance policies,"l colby , a kawaguchi , d lieuwen , i mumick , k ross",sigmod conference,1997,supporting multiple access control policies in database systems,"f rabitti , e bertino , w kim , d woelk","acm transactions on database systems ,",
144,144,0,odefs : a file system interface to an object-oriented database,"n gehani , h jagadish , w roome",vldb,1994,tutorial on object-oriented databases,ms jackson,"information and software technology ,",1991.0
145,145,0,database technologies for electronic commerce,"r agrawal , r srikant , y xu",vldb,2002,frontiers of electronic commerce,"r kalakota , ab whinston",,1996.0
146,146,0,automatic discovery of language models for text databases,"j callan , m connell , a du",sigmod conference,1999,the effective of gloss for the text database discovery problem,"hgoms luisgravano , a tomasic","proc . of the acm sigmod conference , acm sigmod record ,",
147,147,0,incremental computation and maintenance of temporal aggregates,"j yang , j widom",vldb j.,2003,incremental maintenance for non-distributive aggregate functions,"t palpanas , r sidle , r cochrane , h pirahesh","vldb ,",2002.0
148,148,1,guest editorial,,,2003,guest editorial,"v atluri , a joshi , y yesha","the vldb journal the international journal on very large & hellip ; ,",2003.0
149,149,0,the trigs active object-oriented database system - an overview,"g kappel , w retschitzegger",sigmod record,1998,mga : rule-based specification of active object-oriented database applications,"p sawyer , i sommerville","information and software technology ,",1995.0
150,150,0,model-based information integration in a neuroscience mediator system,"b ludфscher , a gupta , m martone",vldb,2000,infomaster : an information integration system,"mr genesereth , am keller , om duschka",,
151,151,0,mining generalized association rules,"r srikant , r agrawal",vldb,1995,mining multi-dimensional association rules using data cubes,"j han , m kamber , j chiang",,
152,152,0,index configuration in object-oriented databases,e bertino,vldb j.,1994,a cost model for clustered object-oriented databases,"zh tangot , stg france",,
153,153,0,an extended entity-relationship model for geographic applications,"t hadzilacos , n tryfona",sigmod record,1997,towards a semantic view of an extended entity-relationship model,"u hohenstein , m gogolla","acm transactions on database systems ,",
154,154,0,tavant system architecture for sell-side channel management,"s narayanan , s subramanian",vldb,2001,architectures for object data management,ja orenstein,,
155,155,0,qursed : querying and reporting semistructured data,"y papakonstantinou , m petropoulos , v vassalos",sigmod conference,2002,querying structured text in an xml database,"s al-khalifa , c yu , hv jagadish",,
