idx	text_left	text_right	label
52	Three Beavers Imperial Red Ale Howe Sound Inn & Brewing Company American Amber / Red Ale 7.50 %	406 Imperial Red Ale 406 Brewing Company American Strong Ale 9.20 %	0
53	Arthur s Imperial Red Ale Otto s Pub and Brewery American Amber / Red Ale 6.90 %	Two Brothers Revelry Imperial Red Ale Two Brothers Brewing Company American Strong Ale 9.50 %	0
54	Red Dragon Smoked Amber Ale Hoppy Brewing Co. . American Amber / Red Ale 5.50 %	Baird Smoked Amber Ale Baird Brewing Co. . Smoked -	0
55	Batch 200 _  Olympus Mons Imperial Red Ale Due South Brewing Co. . American Amber / Red Ale 9.20 %	Ale Mania Imperial Red Ale Ale Mania &#40; Fritz Ale &#41; American Strong Ale 9.50 %	0
56	Mr. Grain Jeans Organic Amber Ale Outpost Natural Foods American Amber / Red Ale 5.50 %	Squatters Respect Your Mother Organic Amber Ale Squatters Craft Beers Amber Ale 4 %	0
57	Smuttynose Kindest Find Imperial Red Ale Smuttynose Brewing Company American Amber / Red Ale 8.50 %	Two Brothers Revelry Imperial Red Ale Two Brothers Brewing Company American Strong Ale 9.50 %	0
58	Broadhead Bourbon Barrel Aged Red Bainbridge Island Brewing Company American Amber / Red Ale 8.50 %	Flat 12 Barrel Aged Moustache Ride Red Flat 12 Bierwerks Amber Ale -	0
59	Pizza Orgasmica Amber Ale Devil s Canyon Brewing Company American Amber / Red Ale 6.50 %	Pizza Port Acacia Amber Ale Pizza Port &#40; Solana Beach &#41; Belgian Ale -	0
60	Iron Mike s Amber Ale Jacob Leinenkugel Brewing Company American Amber / Red Ale -	Railway City Iron Spike Amber Ale Railway City Brewing Company Amber Ale 4.60 %	0
61	Lagunitas Imperial Red Ale Lagunitas Brewing Company American Amber / Red Ale 7.80 %	Three Heads Buffalo Soul Jah Imperial Red Ale Custom Brewcrafters American Strong Ale 9.20 %	0
62	Photobomb Imperial Red Ale Crooked Ladder Brewing Company American Amber / Red Ale 8.50 %	Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged Fulton Beer Company American Strong Ale 8.50 %	0
63	Arthur s Imperial Red Ale Otto s Pub and Brewery American Amber / Red Ale 6.90 %	Kinetic Infrared Imperial Red Ale Kinetic Brewing Company American Strong Ale 9.30 %	0
64	Red Rocket Amber Ale Third Base Sports Bar & Brewery American Amber / Red Ale 6.40 %	Blue Cat Red Toad Amber Ale Blue Cat Brew Pub Premium Bitter/ESB 5.70 %	0
65	Eruption Imperial Red Ale Worthy Brewing Co. . American Amber / Red Ale 8.00 %	Three Heads Buffalo Soul Jah Imperial Red Ale Custom Brewcrafters American Strong Ale 9.20 %	0
66	Barrel Aged Red Ale BearWaters Brewing Co. . American Amber / Red Ale 6.70 %	Ballast Point Calico Amber Ale - Rum Barrel Aged Ballast Point Brewing Company Amber Ale 5 %	0
67	Ballistic Brewing Co. - Gorgon Red Ale Indian Wells Brewing Company American Amber / Red Ale 5.50 %	Red Horn Coffee House and Brewing Company Red Horn Drink Well Red Ale Red Horn Coffee House and Brewing Company Amber Ale 5.50 %	0
68	The  Ginger  A Red Ale Elk Street Brewery & Tap Room American Amber / Red Ale 6.80 %	The Beer Company Wyatt Earp Red Ale The Beer Company Irish Ale 7 %	0
69	North 45 Amber Ale Petoskey Brewing Company American Amber / Red Ale 5.80 %	Thirsty Pagan North Coast Amber Ale Thirsty Pagan Brewing Amber Ale -	0
70	Red s On Vacation Barley John s Brew Pub American Amber / Red Ale 5.44 %	Barley Johns Reds on Vacation Barley Johns Brew Pub Amber Ale 5.44 %	1
71	Old Cellar Dweller Driftwood Brewery American Barleywine 11.60 %	Driftwood Old Cellar Dweller Barleywine Driftwood Brewery &#40; Canada &#41; Barley Wine 14 %	1
72	Lavery Imperial Red Ale Lavery Brewing Company American Amber / Red Ale 8.20 %	Lagunitas Imperial Red Ale Lagunitas Brewing Company &#40; Heineken &#41; American Strong Ale 7.80 %	0
73	Double Dread Imperial Red Ale Mad River Brewing Company American Amber / Red Ale 8.60 %	Scuttlebutt Mateo Loco Imperial Red Ale Scuttlebutt Brewing Co. . American Strong Ale 7.10 %	0
74	Roundabout Imperial Red Ale Bonfire Brewing Co. . American Amber / Red Ale 8.80 %	AleSmith YuleSmith &#40; Winter &#41; Imperial Red Ale AleSmith Brewing Company American Strong Ale 8.50 %	0
75	Port Chester Red Ale Greenpoint Beerworks / Kelso of Brooklyn American Amber / Red Ale 5.50 %	Pizza Port Rhino Chaser Imperial Red Ale Pizza Port &#40; Ocean Beach &#41; American Strong Ale 9.50 %	0
76	Red Hopper ( Imperial Red Ale ) Black Acre Brewing Co. . American Amber / Red Ale 6.20 %	Proof Abandoned Planet Imperial Red Ale Proof Brewing Company Amber Ale 7.50 %	0
77	Sons Of Anarchy Amber Ale Sudwerk Brewing Company American Amber / Red Ale 4.70 %	Sudwerk Sons Of Anarchy Amber Ale Sudwerk Brewing Company Amber Ale 4.70 %	1
78	Eldred Rock Amber Haines Brewing Company American Amber / Red Ale 5.00 %	Haines Eldred Rock Amber Haines Brewing Co. . Amber Ale 5 %	1
79	Double Dread Imperial Red Ale Mad River Brewing Company American Amber / Red Ale 8.60 %	406 Imperial Red Ale 406 Brewing Company American Strong Ale 9.20 %	0
80	Blood On The Blade Red IPA Backpocket Brewing American Amber / Red Ale 7.00 %	Bacchus / Burrow Bloodhound Blood Red IPA Bacchus Brewing Company &#40; Australia &#41; India Pale Ale &#40; IPA &#41; 6 %	0
81	My Hoppy Valentine Excel Brewing Company American Amber / Red Ale 6.50 %	Excel My Hoppy Valentine Excel Brewing Company Amber Ale 6.50 %	1
82	Hop Around Imperial Red Ale Big Bay Brewing Co. . American Amber / Red Ale 9.00 %	Austin Beerworks Battle Axe Imperial Red Ale Austin Beerworks American Strong Ale 8 %	0
83	6th Anniversary Ale ( Dirty Hippie Imperial Red Ale ) Kern River Brewing Company American Amber / Red Ale 8.00 %	Tumbledown Imp Imperial Red Ale Tumbledown Brewing LLC American Strong Ale 7.80 %	0
84	Photobomb Imperial Red Ale Crooked Ladder Brewing Company American Amber / Red Ale 8.50 %	ShuBrew Heart and Sole Imperial Red Ale ShuBrew American Strong Ale 6.80 %	0
85	C N Red Imperial Red Ale Redwood Lodge American Amber / Red Ale 8.10 %	Ballast Point Tongue Buckler Imperial Red Ale Ballast Point Brewing Company American Strong Ale 10 %	0
86	Deranger Imperial Red Ale Laurelwood Public House & Brewery American Amber / Red Ale 8.60 %	Renegade Scarlett Letter Imperial Red Ale Renegade Brewing Company American Strong Ale 8.50 %	0
87	All American Red Ale Centennial Beer Co. . American Amber / Red Ale 5.00 %	Stadin American Red Ale Stadin Panimo Amber Ale 4.50 %	0
88	Bulleit Bourbon Barrel Aged GKnight Oskar Blues Grill & Brew American Amber / Red Ale 8.70 %	Lompoc Bourbon Barrel Aged Old Tavern Rat Lompoc Brewing Barley Wine 9.70 %	0
89	Big V Amber Ale FreeWheel Brewing Company American Amber / Red Ale 4.00 %	Big Texan Texas Red Amber Ale Big Texan Brewery Amber Ale 4.50 %	0
90	Double Dread Imperial Red Ale Mad River Brewing Company American Amber / Red Ale 8.60 %	Lagunitas Imperial Red Ale Lagunitas Brewing Company &#40; Heineken &#41; American Strong Ale 7.80 %	0
91	5 Star Amber Ale The Civil Life Brewing Company American Amber / Red Ale 5.00 %	Blue Star Apache Amber Ale Blue Star Brewing Co. . Amber Ale -	0
92	Lavery Imperial Red Ale Lavery Brewing Company American Amber / Red Ale 8.20 %	ShuBrew Heart and Sole Imperial Red Ale ShuBrew American Strong Ale 6.80 %	0
93	Barrel Aged Imperial Red Hale s Ales Brewery & Pub American Amber / Red Ale 9.00 %	Imperial Oak Barrel Aged Odin_s Beard Imperial Oak Brewing American Strong Ale 9 %	0
94	3 Sisters American Red Ale Wild Ride Brewing Co. . American Amber / Red Ale 6.00 %	Black Shirt American India Red Ale Black Shirt Brewing Company American Strong Ale 7.09 %	0
95	Red Dragon Smoked Amber Ale Hoppy Brewing Co. . American Amber / Red Ale 5.50 %	Kilted Dragon Bonnie Heather Amber Ale Kilted Dragon Brewing Company Amber Ale 5 %	0
96	Mountian Goat Rare Breed India Red Ale Mountain Goat Beer Pty Ltd American Amber / Red Ale 6.60 %	Hammond River Red Coat India Red Ale Hammond River Brewing Amber Ale 6.50 %	0
97	Lavery Imperial Red Ale Lavery Brewing Company American Amber / Red Ale 8.20 %	Two Brothers Revelry Imperial Red Ale Two Brothers Brewing Company American Strong Ale 9.50 %	0
98	Three Beavers Imperial Red Ale Howe Sound Inn & Brewing Company American Amber / Red Ale 7.50 %	Renegade Scarlett Letter Imperial Red Ale Renegade Brewing Company American Strong Ale 8.50 %	0
99	Red-oric - Beer Camp # 65 ( Best Of Beer Camp : Imperial Red Ale ) Sierra Nevada Brewing Co. . American Amber / Red Ale 8.00 %	Peter Bs Sum Of Hours Imperial Red Ale Peter Bs Brewpub American Strong Ale 9.50 %	0
100	Belle Gueule Rousse Brasseurs R.J. American Amber / Red Ale 5.20 %	Belle Gueule Rousse Brasseurs RJ Amber Lager/Vienna 5.20 %	1
101	Red Rock Amber Ale OPA-OPA Steakhouse & Brewery American Amber / Red Ale 6.00 %	Slanted Rock Iron Butt Red Ale Slanted Rock Brewing Company Amber Ale 5.80 %	0
102	Ise Kadoya Amber Ale Nikenjayamochi Kadoya Honten Co. / Ise Kadoya Brewery American Amber / Red Ale 4.50 %	Ise Kadoya Amarillo Amber Ale Ise Kadoya Amber Ale -	1
103	Hop Around Imperial Red Ale Big Bay Brewing Co. . American Amber / Red Ale 9.00 %	Speakeasy Wet Hop Prohibition Red Ale Speakeasy Ales and Lagers Amber Ale 6.10 %	0
104	Deranger Imperial Red Ale Laurelwood Public House & Brewery American Amber / Red Ale 8.60 %	406 Imperial Red Ale 406 Brewing Company American Strong Ale 9.20 %	0
105	C N Red Imperial Red Ale Redwood Lodge American Amber / Red Ale 8.10 %	Tumbledown Imp Imperial Red Ale Tumbledown Brewing LLC American Strong Ale 7.80 %	0
106	All American Red Ale Centennial Beer Co. . American Amber / Red Ale 5.00 %	Saimaan Brewer_s Special American Red Ale Saimaan Juomatehdas Amber Ale 4.70 %	0
107	Molly American Red Ale New Helvetia Brewing Company American Amber / Red Ale 5.00 %	Big Time Lift Ticket American Red Ale Big Time Brewery India Pale Ale &#40; IPA &#41; 7 %	0
108	Barbarian Red Ale CervecerÃa Barbarian American Amber / Red Ale 6.50 %	Barbarian Red Ale CervecerÃa Barbarian Amber Ale 6.50 %	1
109	Hop Around Imperial Red Ale Big Bay Brewing Co. . American Amber / Red Ale 9.00 %	Ale Mania Imperial Red Ale Ale Mania &#40; Fritz Ale &#41; American Strong Ale 9.50 %	0
110	Barrel Aged Series : Barley Wine Parallel 49 Brewing Company American Barleywine 11.80 %	Elevator Barrel Aged Barley Wine Elevator Brewing Company Barley Wine -	0
111	West Sixth / Country Boy Country Western ( Volume 3 Imperial Red Ale ) West Sixth Brewing Company American Amber / Red Ale 13.00 %	Figueroa Mountain / Pizza Port Shark Lips Imperial Red Ale Figueroa Mountain Brewing American Strong Ale 8 %	0
112	Roundabout Imperial Red Ale Bonfire Brewing Co. . American Amber / Red Ale 8.80 %	Marble Imperial Red Ale Marble Brewery American Strong Ale 9 %	0
113	Shark Attack Double Red Ale Port Brewing American Amber / Red Ale 9.00 %	Midnight Sun Unite Double Red Hot Ale &#40; 2015 &#41; Midnight Sun Brewing Company Amber Ale 7.50 %	0
114	Barrel Aged Riverside Red Intuition Ale Works American Amber / Red Ale 7.80 %	Blue Pants Big & Tall # 2 : Barrel Aged Belgian Red Blue Pants Brewery Amber Ale 9 %	0
115	Oatmeal Amber Ale Ornery Beer Company Public House American Amber / Red Ale 5.70 %	John Harvards Oatmeal Amber Ale John Harvard_s Brewhouse &#40; Corporate Office &#41; Amber Ale 6.50 %	1
116	Buffalo Trace Bourbon Barrel Aged Amber Ale Wolf Hills Brewing Company American Amber / Red Ale -	Barley_s Barrel Aged Ulysses Imperial Red Ale Barley_s Brewing Company American Strong Ale 8.60 %	0
117	Merry Prankster Imperial Red Ale Rock Bottom Restaurant & Brewery American Amber / Red Ale 4.56 %	Marble Imperial Red Ale Marble Brewery American Strong Ale 9 %	0
118	Mountain Series : Love Rhino ( Imperial Red Ale ) Breckenridge Brewery American Amber / Red Ale 8.90 %	Two Brothers Revelry Imperial Red Ale Two Brothers Brewing Company American Strong Ale 9.50 %	0
119	Lagunitas Imperial Red Ale Lagunitas Brewing Company American Amber / Red Ale 7.80 %	Sick N Twisted Naughty Redhead Imperial Red Ale Sick N Twisted Brewing Company Amber Ale 8 %	0
120	Imperial Moustache Red Ale Salty Nut Brewery American Amber / Red Ale 6.00 %	Three Heads Buffalo Soul Jah Imperial Red Ale Custom Brewcrafters American Strong Ale 9.20 %	0
121	Single Hop # 3 Amber Ale W / Citra Three Palms Brewing Co. . American Amber / Red Ale 6.80 %	Hill Farmstead Amarillo Single Hop Pale Ale Hill Farmstead Brewery American Pale Ale 5.20 %	0
122	Vital Infrared Imperial Red Vital Brewing American Amber / Red Ale 9.40 %	Vital Infrared Imperial Red Vital Brewing American Strong Ale 9.40 %	1
123	Rip Saw Red Pints Brewing Co. . American Amber / Red Ale 6.50 %	Pints Rip Saw Red Pints Brewing Company Amber Ale 5.90 %	1
124	Bourbon Barrel Ro Shampo Imperial Red Ale Figure 8 Brewing American Amber / Red Ale -	Cape Cod Bourbon Barrel Red Cape Cod Beer Amber Ale 5.50 %	0
125	Panama Limited Red Ale Flossmoor Station Restaurant & Brewery American Amber / Red Ale -	Flossmoor Station Barrel Aged Panama Limited Red Ale Flossmoor Station Restaurant & Brewery Amber Ale 6.50 %	0
126	Tst Brw 01 - Imperial Red Ale Brouwerij De Koninck NV American Amber / Red Ale 7.80 %	Kern River Dirty Hippie Imperial Red Ale Kern River Brewing American Strong Ale 8 %	0
127	Buffalo Soul Jah Imperial Red Ale Three Heads Brewing American Amber / Red Ale 9.20 %	Iron Horse Fresh Hop Imperial Red Ale Iron Horse Brewery American Strong Ale -	0
128	Roundabout Imperial Red Ale Bonfire Brewing Co. . American Amber / Red Ale 8.80 %	Peter Bs Sum Of Hours Imperial Red Ale Peter Bs Brewpub American Strong Ale 9.50 %	0
129	Deputation Imperial Red Ale Brannon s Pub and Brewery American Amber / Red Ale 8.00 %	Spring House Atomic Raygun Imperial Red Ale Spring House Brewing Company American Strong Ale 8.30 %	0
130	American Red Ale Rock Art Brewery American Amber / Red Ale 4.80 %	Americas American Red Ale Americas Brewpub Amber Ale -	1
131	Roundabout Imperial Red Ale Bonfire Brewing Co. . American Amber / Red Ale 8.80 %	Tumbledown Imp Imperial Red Ale Tumbledown Brewing LLC American Strong Ale 7.80 %	0
132	Double Red Ale The Seven Barrel Brewery American Amber / Red Ale 8.20 %	Midnight Sun Unite Double Red Hot Ale &#40; 2015 &#41; Midnight Sun Brewing Company Amber Ale 7.50 %	0
133	Molly American Red Ale New Helvetia Brewing Company American Amber / Red Ale 5.00 %	Genesee Brew House American Red Ale Genesee Brewing Company &#40; North American Breweries &#41; Amber Ale 5 %	0
134	Big Bully Amber Ale Edge Brewing American Amber / Red Ale 5.00 %	Big Time Atlas Amber Ale Big Time Brewery Amber Ale 5.40 %	0
135	Tongue Buckler - Imperial Red Ale Ballast Point Brewing Company American Amber / Red Ale 10.00 %	ShuBrew Heart and Sole Imperial Red Ale ShuBrew American Strong Ale 6.80 %	0
136	Bourbon Barrel Ro Shampo Imperial Red Ale Figure 8 Brewing American Amber / Red Ale -	Lavery Imperial Red Ale &#40; IRA &#41; Lavery Brewing Company American Strong Ale 8.20 %	0
137	Sequoia American Amber Ale Wig And Pen American Amber / Red Ale 5.90 %	Aarhus Cains Triple A American Amber Ale Aarhus Bryghus Amber Ale 5.50 %	0
138	Broadhead Bourbon Barrel Aged Red Bainbridge Island Brewing Company American Amber / Red Ale 8.50 %	MadTree Bourbon Barrel Aged Happy Amber MadTree Brewing Company Amber Ale 6 %	0
139	Sledgehammer Imperial Red Ale Cambridge Brewing Company American Amber / Red Ale 7.75 %	Anacapa Riptide Imperial Red Ale Anacapa Brewing Company American Strong Ale 8 %	0
140	Old Guardian Barley Wine Ale - Red Wine Barrel Aged Stone Brewing Co. . American Barleywine 11.20 %	Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged Fulton Beer Company American Strong Ale 8.50 %	0
141	Mountain Series : Love Rhino ( Imperial Red Ale ) Breckenridge Brewery American Amber / Red Ale 8.90 %	Tumbledown Imp Imperial Red Ale Tumbledown Brewing LLC American Strong Ale 7.80 %	0
142	Mad Anthony Muddy River Amber Ale Mad Anthony Brewing Company American Amber / Red Ale -	Mad River Jamaica Red Ale Mad River Brewery Amber Ale 6.50 %	0
143	Simeon Jones River Valley Amber Ale Picaroons Brewing Co. . American Amber / Red Ale 4.50 %	Piney River McKinney Eddy Amber Ale Piney River Brewing Company Amber Ale -	0
144	Deranger Imperial Red Ale Laurelwood Public House & Brewery American Amber / Red Ale 8.60 %	Kinetic Infrared Imperial Red Ale Kinetic Brewing Company American Strong Ale 9.30 %	0
145	Red Rocket Amber Ale Third Base Sports Bar & Brewery American Amber / Red Ale 6.40 %	Red Duck Amber Ale Purrumbete Brewing Amber Ale 4.80 %	0
146	Double Red Hot Ale Midnight Sun Brewing Co. . American Amber / Red Ale 7.57 %	Destihl Barrel Aged Deadhead Double Red Ale Destihl Brewery American Strong Ale -	0
147	Wasatch 50th Park City Golden Anniversary Ale Utah Brewers Cooperative American Amber / Red Ale 4.00 %	Golden City Centurion Barleywine Ale Golden City Brewery Barley Wine 11.20 %	0
148	Regimental 80 Scottish Ale Crooked Eye Brewery American Amber / Red Ale 4.70 %	Crooked Eye Regimental 80 Scottish Ale Crooked Eye Brewery Scottish Ale 4.70 %	1
149	Dream Of The 90 s Prohibition Pig American Amber / Red Ale 6.10 %	Prohibition Pig Dream of the 90s Prohibition Pig Amber Ale -	1
150	Fullers Traitors  Gate Fuller Smith & Turner PLC American Amber / Red Ale 4.50 %	Fuller_s Traitor_s Gate Fuller_s Bitter 4.50 %	1
