Beer_Name,Brew_Factory_Name,Style,ABV,id
West Sixth / Country Boy Country Western ( Volume 3 Imperial Red Ale ),West Sixth Brewing Company,American Amber / Red Ale,13.00 %,87
Shark Attack Double Red Ale,Port Brewing,American Amber / Red Ale,9.00 %,88
Barrel Aged Riverside Red,Intuition Ale Works,American Amber / Red Ale,7.80 %,89
Oatmeal Amber Ale,Ornery Beer Company Public House,American Amber / Red Ale,5.70 %,90
Imperial Moustache Red Ale,Salty Nut Brewery,American Amber / Red Ale,6.00 %,91
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 %,92
Rip Saw Red,Pints Brewing Co. .,American Amber / Red Ale,6.50 %,93
Panama Limited Red Ale,Flossmoor Station Restaurant & Brewery,American Amber / Red Ale,-,94
Tst Brw 01 - Imperial Red Ale,Brouwerij De Koninck NV,American Amber / Red Ale,7.80 %,95
Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Amber / Red Ale,9.20 %,96
American Red Ale,Rock Art Brewery,American Amber / Red Ale,4.80 %,97
Double Red Ale,The Seven Barrel Brewery,American Amber / Red Ale,8.20 %,98
Big Bully Amber Ale,Edge Brewing,American Amber / Red Ale,5.00 %,99
Tongue Buckler - Imperial Red Ale,Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,100
Sequoia American Amber Ale,Wig And Pen,American Amber / Red Ale,5.90 %,101
Sledgehammer Imperial Red Ale,Cambridge Brewing Company,American Amber / Red Ale,7.75 %,102
Old Guardian Barley Wine Ale - Red Wine Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,103
Mad Anthony Muddy River Amber Ale,Mad Anthony Brewing Company,American Amber / Red Ale,-,104
Simeon Jones River Valley Amber Ale,Picaroons Brewing Co. .,American Amber / Red Ale,4.50 %,105
Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,106
Wasatch 50th Park City Golden Anniversary Ale,Utah Brewers Cooperative,American Amber / Red Ale,4.00 %,107
Regimental 80 Scottish Ale,Crooked Eye Brewery,American Amber / Red Ale,4.70 %,108
Dream Of The 90 s,Prohibition Pig,American Amber / Red Ale,6.10 %,109
Fullers Traitors  Gate,Fuller Smith & Turner PLC,American Amber / Red Ale,4.50 %,110
Weekender American Amber Ale,Stilt House Brewery,American Amber / Red Ale,5.20 %,111
Blarney Rock Irish Ale,Rockyard Brewing,American Amber / Red Ale,6.00 %,112
Aiken American Red Pale Ale,Aiken Brewing Company,American Amber / Red Ale,-,113
Big Bear Amber Ale,Stewart s Brewing Co. .,American Amber / Red Ale,5.60 %,114
Great Lakes Independence Ale,Great Lakes Brewing Co. .,American Amber / Red Ale,6.00 %,115
Ale Mania Imperial Red Ale,Ale-Mania,American Amber / Red Ale,9.50 %,116
Shirt Tail Amber,Iron Hill Brewery & Restaurant,American Amber / Red Ale,4.40 %,117
Desert Island Series : American Honey Amber Ale,Heavy Seas Beer,American Amber / Red Ale,4.90 %,118
Starlord s Mixtape / Groot Drank Imperial Red Ale,Charging Hippo Brewing Co. .,American Amber / Red Ale,8.20 %,119
Stupiphany Imperial Red Ale,Rusty Truck Brewing Company / Roadhouse 101,American Amber / Red Ale,8.00 %,120
Red 88 Imperial Amber Ale,River City Brewing Co. .,American Amber / Red Ale,8.00 %,121
Hurricane Alley Amber Ale,Florida Beer Company,American Amber / Red Ale,-,122
Brewmaster s Reserve Imperial Red Ale,BJ s Chicago Pizza & Brewery Inc. .,American Amber / Red Ale,9.20 %,123
Red Headed Slut Amber Ale,Twisted K-8 Brewing Company,American Amber / Red Ale,6.50 %,124
Phobos Single Hop Red Ale,Ecliptic Brewing,American Amber / Red Ale,7.40 %,125
Frost Quake Bourbon Barrel Aged Barley Wine,Wellington County Brewery,American Barleywine,9.80 %,126
Bourbon Barrel Aged Horus Imperial Red,Elevator Brewery & Draught Haus,American Amber / Red Ale,12.00 %,127
Rocky Mountain Red Ale,Grand Lake Brewing Company,American Amber / Red Ale,-,128
Ro Shampo Imperial Red Ale,Figure 8 Brewing,American Amber / Red Ale,7.50 %,129
Alaskan Barley Wine ( Pilot Series ),Alaskan Brewing Co. .,American Barleywine,10.70 %,130
Starfish Imperial Red Ale,Fish Brewing Company / Fishbowl Brewpub,American Amber / Red Ale,7.50 %,131
Double Mongrel Imperial India Red Ale,Aspetuck Brew Lab,American Amber / Red Ale,9.00 %,132
Fisherman s Tea Party,Cape Ann Brewing Company,American Barleywine,9.00 %,133
Kingpin Double Red Ale,BridgePort Brewing Co. / Brewpub,American Amber / Red Ale,7.50 %,134
Ulysses Imperial Red Ale,Barley s Brewing Company,American Amber / Red Ale,-,135
Harold The Red Ale,Black Husky Brewing,American Amber / Red Ale,-,136
Insane Mane Red Ale,White Lion Brewing Company,American Amber / Red Ale,5.10 %,137
Road Rash Red,Tandem Brewing Company,American Amber / Red Ale,6.00 %,138
Willoughby American Amber Ale,Willoughby Brewing,American Amber / Red Ale,4.90 %,139
Old Guardian Barley Wine Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,140
BJ s Imperial Red Ale,BJ s Restaurant & Brewhouse,American Amber / Red Ale,9.00 %,141
Pioneer American Red Ale,Pioneer Beer Company,American Amber / Red Ale,5.70 %,142
Clifford The Big Red Ale,Books & Brews,American Amber / Red Ale,6.80 %,143
Boohai Red Ale,Crazy Mountain Brewing Company,American Amber / Red Ale,6.00 %,144
Barrel Aged Chessie,Union Craft Brewing Company,American Barleywine,9.80 %,145
Trail Ridge Red,Grand Lake Brewing Company,American Amber / Red Ale,7.50 %,146
Red Dragon Imperial Red Ale,Dead Frog Brewing,American Amber / Red Ale,8.00 %,147
Alaskan Imperial Red Ale ( Pilot Series ),Alaskan Brewing Co. .,American Amber / Red Ale,8.50 %,148
Summer Session Ale,Elk Creek Cafe + Aleworks,American Amber / Red Ale,4.20 %,149
Jurassic Duck Amber Ale ( dry Hopped With Mosaic ),The Dodging Duck Brewhaus,American Amber / Red Ale,-,150
OConnor s Irish Red Ale,Wormtown Brewery,American Amber / Red Ale,5.00 %,151
Winter Seasonal Amber Ale,Dead Frog Brewing,American Amber / Red Ale,5.00 %,152
Hawaii Nui Sunset Amber Ale,Hawaii Nui Brewing / Mehana Brewing Company,American Amber / Red Ale,5.45 %,153
Street Cred India Rye Red Ale,Roaring Fork Beer Company,American Amber / Red Ale,7.20 %,154
Red Shedman s Imperial Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,155
Copperhead Amber Ale,Yalobusha Brewing Company,American Amber / Red Ale,5.65 %,156
Dark Horse Amber Ale,Dark Horse Brewing Company,American Amber / Red Ale,5.50 %,157
Red Emperor Amber Ale,Fish Rock Brewery,American Amber / Red Ale,4.50 %,158
Strada S. Felice,Grado Plato,American Amber / Red Ale,8.00 %,159
Morrisons American Red Ale,Titanic Brewery,American Amber / Red Ale,4.50 %,160
Sea Spray Amber Ale,Bowen Island Brewing Co. Ltd. .,American Amber / Red Ale,5.00 %,161
Big Horn Buttface Amber Ale,C.B. & Potts,American Amber / Red Ale,-,162
Beer Of The Dragon,Beachwood BBQ & Brewing,American Amber / Red Ale,9.10 %,163
Isle Of Pines Barley Wine,Flying Goose Brew Pub & Grille,American Barleywine,11.00 %,164
Noggin Floggin ( Bourbon Barrel Aged ),Hopworks Urban Brewery,American Barleywine,9.60 %,165
Mermaid s Red Ale - Bourbon Oak Aged,Coronado Brewing Company,American Amber / Red Ale,-,166
Imperial Red Ale,Epic Brewing Company,American Amber / Red Ale,7.70 %,167
Frog Island Amber Ale,Frog Island Brewing Company,American Amber / Red Ale,6.00 %,168
Olde Richmond Batch No. 9 Red Ale,Olde Richmond Beer Company,American Amber / Red Ale,-,169
Barrel Aged Imperial Red Ale,Boone Valley Brewing,American Amber / Red Ale,9.99 %,170
Unite Red Rye Ale,The Pike Brewing Company,American Amber / Red Ale,4.60 %,171
Rhino Chaser Imperial Red Ale,Pizza Port Solana Beach,American Amber / Red Ale,9.50 %,172
Fresh Hop Red,Liquid Mechanics Brewing Co. .,American Amber / Red Ale,7.40 %,173
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,174
Bourbon Barrel Aged Panama Red Ale,Flossmoor Station Restaurant & Brewery,American Amber / Red Ale,7.00 %,175
Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,176
Clifford s Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,177
Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,178
Aqula American Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,179
Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,180
Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,181
Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,182
Red Racer India Red Ale,Central City Brewers + Distillers,American Amber / Red Ale,5.60 %,183
Green Flash Hop Head Red Ale,Green Flash Brewing Co. .,American Amber / Red Ale,8.10 %,184
Pike Old Bawdy Barley Wine,The Pike Brewing Company,American Barleywine,9.90 %,185
Three Sheets Barleywine ( Syrah Barrel Aged ),Ballast Point Brewing Company,American Barleywine,9.00 %,186
Red Rock Opie Red Ale,Red Rock Brewing Company,American Amber / Red Ale,4.00 %,187
Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,188
Rock Bottom Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.60 %,189
Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,6.00 %,190
Arrow Point Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,191
Good Medicine Strong Red Ale,Great Northern Brewing Co. / Black Star Draught House,American Amber / Red Ale,7.50 %,192
Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,193
Honey Amber Ale,RJ Rockers Brewing Company,American Amber / Red Ale,5.80 %,194
Rocky Point Red Ale,Revival Brewing Co. .,American Amber / Red Ale,5.50 %,195
Big Red Ale,Red Car Brewery and Restaurant,American Amber / Red Ale,5.70 %,196
Alexander Keith s Red Amber Ale,Alexander Keith s,American Amber / Red Ale,5.00 %,197
Brass Ale Honey Amber,Great Storm Brewing Co. .,American Amber / Red Ale,5.30 %,198
Tongue Buckler ( Bourbon Barrel Aged ),Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,199
Main Street Amber Ale,Fifty West Brewing Co,American Amber / Red Ale,4.60 %,200
Inception Series - Runnin  With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,201
Elevator Barrel Aged Barley Wine ( Bar Bar ),Elevator Brewery & Draught Haus,American Barleywine,11.00 %,202
Bushfire American Red,Granite Falls Brewing Co. .,American Amber / Red Ale,5.00 %,203
Sierra Amber Ale,Silver Peak Restaurant & Brewery,American Amber / Red Ale,4.50 %,204
Buck And Ball Double Amber Ale,Natty Greene s Pub & Brewing Co. .,American Amber / Red Ale,6.80 %,205
Green Lakes Organic Ale,Deschutes Brewery,American Amber / Red Ale,5.20 %,206
Rabbit Mountain Red Ale,300 Suns Brewing,American Amber / Red Ale,6.80 %,207
Easy Amber Ale,Scottsdale Beer Company,American Amber / Red Ale,5.70 %,208
Legends Of The Bay Giant s Tomb,Hockley Valley Brewing Co. .,American Amber / Red Ale,5.00 %,209
Lower De Boom Barleywine,21st Amendment Brewery,American Barleywine,11.50 %,210
Amber Ale With Spanish Orange,Dangerous Man Brewing,American Amber / Red Ale,6.00 %,211
Brew Kahuna NW Red Ale,Sky High Brewing,American Amber / Red Ale,5.20 %,212
Ambleside Amber Ale,Bridge Brewing Company,American Amber / Red Ale,5.30 %,213
Mountain City Amber Ale,Tommyknocker Brewery,American Amber / Red Ale,5.40 %,214
Imperial Red Ale ( Spring Seasonal ),Edge Brewing Company,American Amber / Red Ale,8.50 %,215
Heatwave Red Ale,La Quinta Brewing Co. .,American Amber / Red Ale,6.00 %,216
Red Dread Imperial Red Ale,Bitter Root Brewing,American Amber / Red Ale,8.24 %,217
Red Toad Amber Ale,Blue Cat Brew Pub,American Amber / Red Ale,5.70 %,218
Red Fox Amber Ale,Rogue Ales,American Amber / Red Ale,-,219
Mount Washington Organic Amber Ale,Peak Organic Brewing Company,American Amber / Red Ale,-,220
Thomas Hooker Old Marley Barleywine,Thomas Hooker Brewing Company,American Barleywine,10.00 %,221
Centurion Barleywine Ale,Golden City Brewery,American Barleywine,-,222
Red Ale Priprioca,Cervejaria AmazÃ ´ nia Ltda .,American Amber / Red Ale,6.00 %,223
Big Red Balls,Hillcrest Brewing Company,American Amber / Red Ale,8.00 %,224
Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,225
Hoppy Amber Ale ( Mountain Series ),Breckenridge Brewery,American Amber / Red Ale,6.10 %,226
Hoppy Face Amber Ale,Hoppy Brewing Co. .,American Amber / Red Ale,6.10 %,227
Bonehead Red Bourbon Barrel Aged Imperial Red,Four Peaks Brewing Company - 8th Street Brewery,American Amber / Red Ale,8.00 %,228
Freedom Bridge Amber Ale,Barley Brothers Brewery & Grill,American Amber / Red Ale,-,229
Buckleys Original Ale,Buckley s Beers,American Amber / Red Ale,4.50 %,230
Indian Red Head,Catawba Brewing Co. .,American Amber / Red Ale,5.00 %,231
Old Detroit Amber Ale,Frankenmuth Brewery,American Amber / Red Ale,5.60 %,232
Radeau Red Ale,Cooper s Cave Ale Company,American Amber / Red Ale,5.50 %,233
Monkey King Amber Ale,Moonzen Brewery,American Amber / Red Ale,5.00 %,234
Big Red Hoppy Barn,Westfield River Brewing Company,American Amber / Red Ale,9.50 %,235
Crater Lake Amber Ale,Klamath Basin Brewing Co. - The Creamery Brew Pub And Grill,American Amber / Red Ale,6.00 %,236
American India Red Ale,Black Shirt Brewing Co. .,American Amber / Red Ale,7.18 %,237
Escanaba River Amber Ale,Dead Bear Brewing Co. .,American Amber / Red Ale,5.76 %,238
Boundary Bay Amber Ale,Boundary Bay Brewery & Bistro,American Amber / Red Ale,-,239
Killer Red Fresh Hop India Red Ale,Double Mountain Brewery & Taproom,American Amber / Red Ale,7.20 %,240
The Live Bait Amber Ale,Mudhook Brewing Company,American Amber / Red Ale,6.00 %,241
Rock Steady Red,The Rock Wood Fire Pizza & Brewery,American Amber / Red Ale,5.00 %,242
Red s Heaven 15th Anniversary Imperial Red Ale,Flying Bison Brewing Company,American Amber / Red Ale,8.30 %,243
Spencer Creek Amber Ale,Mia & Pia s Pizzeria And Brewhouse,American Amber / Red Ale,5.50 %,244
Rock River Red Ale,Berghoff Brewery,American Amber / Red Ale,-,245
AmEn ! Barleywine - Barrel Aged,Cahoots Brewing,American Barleywine,11.10 %,246
British Knight Scotch Red Ale,Oskar Blues Grill & Brew,American Amber / Red Ale,7.40 %,247
Red RYEding Hood,Chapman s Brewing Company,American Amber / Red Ale,10.00 %,248
San Marcos Red Amber Ale,San Marcos Brewery & Grill,American Amber / Red Ale,5.90 %,249
Flying Monkey Amber Ale,Flying Monkey Brewing Company,American Amber / Red Ale,4.60 %,250
Oak-Aged Backburner ( Imperial Barley Wine Ale ),Southern Tier Brewing Company,American Barleywine,9.60 %,251
Kickin  Chicken Bourbon Barrel Barley Wine,Santa Fe Brewing Company,American Barleywine,12.00 %,252
JT Schmid s Emil s Amber Ale,JT Schmid s Restaurant & Brewery,American Amber / Red Ale,5.20 %,253
Ole  Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger s Brewhouse,American Barleywine,-,254
Wobbly Red Ale,Dirty Hands Brewing Company,American Amber / Red Ale,5.90 %,255
Revenuers Red Ale,Catawba Brewing Co. .,American Amber / Red Ale,5.20 %,256
S : t Eriks Unite Red Ale,S : t Eriks Bryggeri,American Amber / Red Ale,4.60 %,257
Creeper Trail Amber Ale,Wolf Hills Brewing Company,American Amber / Red Ale,4.80 %,258
MovAmber Moustache Ale,Bull City Burger And Brewery,American Amber / Red Ale,-,259
Hooligan Amber Ale,Bentley Brewing Company / Dark Horse Tavern,American Amber / Red Ale,6.00 %,260
Commander Clifford _ ™ s Imperial Red Ale,The Wrecking Bar Brewpub,American Amber / Red Ale,9.00 %,261
Bourbon Barrel Aged Behemoth With Cherries,3 Floyds Brewing Co. .,American Barleywine,12.50 %,262
46 Star Oklahoma Amber Ale,Bricktown Brewery,American Amber / Red Ale,-,263
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,264
Fire Brew Red Ale,Minhas Craft Brewery,American Amber / Red Ale,5.50 %,265
Willimantic Riverfest Red,Willimantic Brewing Co. .,American Amber / Red Ale,5.20 %,266
Alpine Mountain Amber Ale,Beer By Design,American Amber / Red Ale,5.90 %,267
The Unforgiven Amber Ale,Rush River Brewing Company,American Amber / Red Ale,5.80 %,268
Fresh Hopped Harvest Ale,Big Al Brewing,American Amber / Red Ale,-,269
Oatmeal Raisin Cookie Ale,Bluebird Microcreamery & Brewery,American Amber / Red Ale,5.90 %,270
Premium Red Ale,Uehara Shuzou Co. Ltd. / Echigo Beer Pub,American Amber / Red Ale,6.00 %,271
Red Curry Ale,Hideout Brewing Company,American Amber / Red Ale,5.50 %,272
Rabbit Punch Irish Red Ale,Ram Restaurant & Brewery,American Amber / Red Ale,5.70 %,273
Old Blarney Barleywine - Bourbon Barrel Aged,Moylan s Brewery,American Barleywine,10.00 %,274
