id,label,left_title,left_manufacturer,left_price,right_title,right_manufacturer,right_price
76,0,adobe photoshop elements 4.0 plus adobe premiere elements 2.0 complete package 1 user cd mini-box win canadian french 29180162 ),adobe systems inc,,adobe photoshop cs3 extended complete package 1 user academic cd mac,,279.0
77,1,snap ! spelling ( jewel case ),topics entertainment,19.95,spelling,,4.93
78,0,netmanage rumba unix-hp edition v. 7.3 upgrade license 902453-006 ),netmanage,,bhe3dus installanywhere enterprise edition v. 8 product upgrade license + 1 year,,4746.16
79,0,zonealarm internet security suite,zone labs,49.99,panda software panda internet security 2007,,69.99
80,0,mediafour macdrive 6 for windows,mediafour corporation,49.99,quark quarkxpress 7 upgrade for mac & windows,,244.99
81,0,microsoft office student and teacher edition 2004 macintosh,microsoft,149.99,microsoft ( r ) office 2004 for mac student and teacher edition,,146.95
82,1,microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office visio standard 2007 upgrade ( pc ),,129.95
83,0,quicken 2007 premier,intuit,79.95,quickbooks pro 2007 3 user,intuit,398.99
84,0,microsoft office 2004 standard upgrade ( mac ),microsoft,239.99,microsoft ( r ) word 2007,,109.99
85,0,peachtree by sage premium accounting 2007,sage software,499.99,laser checks for peachtree ( r ) accounting for windows 8.0-2005,,106.29
86,0,adobe dreamweaver cs3 upgrade,adobe,199.0,adobe cs3 flash professional upgrade,,205.99
87,1,national geographic presents : redshift 5 planetarium software,topics entertainment,39.99,redshift 5 ( national geographic presents ) ( win 98 me 2000 xp ),,39.99
88,0,the print shop 22 deluxe,encore,49.99,encore software 11941 the print shop zoom,,17.97
89,0,panda antivirus 2007,panda software,29.95,norton antivirus 2007 3 user pack,,49.95
90,0,adobe creative suite cs3 production premium upgrade,adobe,799.0,adobe acrobat v8 .0 professional for mac upgrade,,145.99
91,0,power production storyboard artist 4,power production,,power production storyboard quick 5 software for mac and windows animation software,,299.0
92,0,adobe cs3 design standard macosx dvd,adobe,399.0,adobe cs3 web standard,,1035.99
93,0,peachtree by sage premium accounting 2007,sage software,499.99,peachtree ( r ) compatible continuous checks-office accounting 12.0,,91.59
94,0,adobe after effects cs3 upgrade,adobe,299.0,adobe contribute cs3 upgrade,,82.99
95,0,symc backup exec sbs aws 11d win sbs agent for windows systems,symantec,447.74,10759328 symantec backup exec 11d for windows servers agent for db2 on windows servers -,,644.84
96,0,station access collection,sony-creative-software,29.99,ultimate puzzle collection,,9.95
97,0,microsoft powerpoint 2004 upgrade ( mac ),microsoft,109.99,microsoft windows vista home basic upgrade ( pc ),,99.99
98,0,microsoft office 2004 standard ( mac ),microsoft,399.99,microsoft word 2007 upgrade ( pc ),,109.95
99,0,instant immersion spanish ( audio book ),topics entertainment,,instant immers italian dlux 2 .,,36.11
100,0,rollercoaster tycoon 3 ( mac ),aspyr media,49.99,roller coaster tycoon 3 for pc,,29.99
101,0,peachtree by sage complete accounting 2007,sage software,269.99,sage ( ptree ) premium accounting for manufacturing 2007 multi-user,,1180.37
102,0,recam remote monitoring software,mobi-technologies-inc .,129.0,corel ulead dvd workshop 2 authoring software,,299.95
103,0,quickbooks premier professional services edition 2007,intuit,399.95,adobe production premium cs3 software suite for windows professional editing software,,1698.95
104,1,logic pro 6 upgrade from logic platinum/gold 5 & 6,apple,199.99,apple software t9161ll/a logic platinum / gold 5 & 6 to logic pro 6 update,apple software,149.0
105,0,britannica deluxe,avanquest software,29.95,britannica deluxe 2008,,26.5
106,0,tlc arthur s kindergarten learning system 2008,encore,19.99,encore software 13871 tlc reader rabbit 1st grade learning system 2008,,17.97
107,0,tonka town ( jewel case ),atari,9.99,geometry ( win/mac ) ( jewel case ) ( 10158 ),,9.59
108,0,punch 5 in 1 home design,punch ! software,39.99,punch software 41100 punch ! home design architectural series 18,punch software,118.99
109,0,adobe creative suite cs3 web premium upsell [ mac ],adobe,1399.0,adobe cs3 master collection upsell from cs1,,2054.99
110,0,illustrator cs3 13 mac ed 1u,adobe-education-box,199.0,adobe illustrator cs3 ( mac ),,599.0
111,1,microsoft windows vista business full version [ dvd ],microsoft,299.95,microsoft windows vista business ( pc ),,299.99
112,0,instant play guitar deluxe v2 .,topics entertainment,39.48,instant immersion spanish deluxe 2.0 topics,,39.99
113,0,microsoft windows terminal server 2003 client additional license for users - 5 user,microsoft,669.0,microsoft r18-00908 windows server 2003 client access license 20-pack ( per user ),microsoft,688.99
114,0,adventure workshop 4th-6th grade 7th edition,encore software,19.99,encore software 10590 adventure workshop preschool 1st grade 7th ed sb cs by riverdeep,,17.97
115,0,jumpstart advanced preschool v2 .0,knowledge adventure,19.99,jumpstart advanced 3rd grade ( pc/mac ) knowledge adventure,,19.99
116,1,aquarium 3-in-one collection ( win/mac ),encore software,19.99,aquarium 3-in-one limited edition ( win 95 98 me 2000 xp/mac 10.1 or higher ),,19.95
117,0,hoyle casino ( 2007 ),encore,19.99,hoyle ( r ) card games 2007,,19.99
118,0,mcafee total protection 2007 3 users,mcafee,99.99,mtp07emb3rua mcafee total protection 2007 complete package 3 users cd mini-box wi,,86.94
119,0,microsoft visio standard 2007,microsoft,259.95,microsoft windows vista business full version,,249.95
120,0,adobe premiere pro cs3 upgrade,adobe,299.0,premiere pro cs3 mac,,808.15
121,0,procurve vpn client software unlimited client licenses,hewlett packard,,sr2116010 safenet softremote vpn client license 5 users win,,184.57
122,0,adobe illustrator cs3 [ mac ],adobe,599.0,adobe indesign cs3 for mac upgrade,,205.99
123,0,punch ! home design architectural series 18,punch ! software,129.99,punch software 38100 punch ! super home suite complete product architectural 1 user complete productcomplete productstandard english pc,,45.97
124,0,microsoft office 2004 professional ( mac ),microsoft,499.99,web easy ( r ) professional 6,,49.99
125,0,microsoft onenote 2007 upgrade,microsoft,79.95,microsoft ( r ) office 2004 for mac standard edition upgrade version,,234.95
126,0,adobe creative suite cs3 web premium upsell [ mac ],adobe,1399.0,adobe cs3 production premium upgrade,,822.99
127,0,adobe after effects 7.0 professional ( mac ),adobe,999.0,adobe after effects cs3 professional software for windows effects software,,998.95
128,0,microsoft powerpoint 2004 upgrade ( mac ),microsoft,109.99,microsoft ( r ) access 2007,,109.99
129,0,computrace lojack for laptops 3 year license ( mac ),absolute software,99.95,absolute software lfl-n2-36 computrace lojack for laptops 3 year license ( win 2000 xp ),,85.97
130,0,punch ! 5 in 1 home design,punch ! software,39.99,punch software 84100 punch ! home design architectural series 4000 v. 10.0 architectural pc,,168.97
131,0,family tree maker version 16 essentials,encore,29.95,encore inc family tree maker 2008 platinum,,85.07
132,0,high school advantage 2007,encore software,29.95,encore inc math advantage 2008,,33.89
133,0,adobe photoshop elements 4.0 plus adobe premiere elements 2.0 complete package 1 user cd mini-box win canadian french 29180162 ),adobe systems inc,,adobe premiere elements 3 and photoshop elements 5 software for windows consumer video editing software,,149.95
134,0,adobe indesign cs3 upgrade [ mac ],adobe,199.0,adobe photoshop cs3 for mac upgrade,,189.99
135,1,turbocad mac 3d for mac,imsi,249.99,imsi design llc turbocad mac 3d,,204.67
136,0,microsoft windows xp professional upgrade with sp2,microsoft software,199.99,adobe after effects professional 7 software for windows effects software,,999.0
137,0,quicken 2007 premier,intuit,79.95,intuit inc quickbooks premier edition 2007 5 user,,1309.31
138,0,microsoft office & windows training professional,topics entertainment,49.95,microsoft office 2004 software suite oem mac apple & mac software,,239.95
139,1,quickbooks premier professional services edition 2007,intuit,399.95,intuit quickbooks premier professional services edition 2007 software win tax & finance software,,349.95
140,0,adobe creative suite cs3 design premium upsell [ mac ],adobe,1599.0,29500244 adobe creative suite 3 design premium product upgrade package 1 user upgra,,1687.48
141,0,adobe illustrator cs3 upgrade [ mac ],adobe,199.0,adobe contribute cs3 upgrade,,82.99
142,0,microsoft office frontpage 2003 academic version windows ),microsoft,159.98,microsoft w87-02380 office sbe 2007 win32,,400.34
143,0,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,5099.0,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,,757.74
144,0,microsoft onenote 2007,microsoft,99.95,microsoft money 2007 home and business ( pc ),,89.99
145,0,peachtree by sage complete accounting 2007,sage software,269.99,peachtree ( r ) complete iii for dos 5.0-10 .0 continuous checks,,144.59
146,0,math missions : the amazing arcade adventure grades 3-5,scholastic,19.99,math missions : the race to spectacle city arcade ( grades k-2 ),,8.49
147,0,acrobat professional 8 ( windows ),adobe,273.0,adobe acrobat v8 .0 professional for mac upgrade,,145.99
148,0,valuesoft tune transfer for ipod software for windows xp,valuesoft,29.95,adobe captivate 2 software for windows presentation software,,598.95
149,0,math missions : the race to spectacle city arcade ( grades k-2 ),scholastic,29.95,math missions : the amazing arcade adventure ( grades 3-5 ),,12.95
150,0,microsoft visio standard 2007 version upgrade,microsoft,129.95,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,,757.74
151,0,national geographic photo gallery ( jewel case ),topics entertainment,9.99,merriam-webster s dictionary ( win/mac ) ( jewel case ) ( 10462 ),,9.59
152,0,peachtree by sage premium accounting for nonprofits 2007,sage software,599.99,peachtree ( r ) compatible continuous forms-accounting for windows 8.0-2004 version,,199.99
153,1,usa/world extreme landscapes bundle,abacus,39.95,abacus usa/world extreme landscapes bundle,,38.43
154,0,sony sound forge audio studio 8,sony-pictures-digital-entertainment,69.99,sony creative software sound forge audio studio v. 8.0 complete product,,55.29
155,0,upgrade emc retrospect 7.5 multi server windows only,dantz,,retrospect 7.5 prof win upg only pz24a0075,emc,54.68
156,0,digidesign music production toolkit ( pro tools le ),digidesign,495.0,make songwriter software music production software,,37.95
157,0,punch ! master landscape & home design,punch ! software,99.99,punch software 90500 home design studio mac,punch software,135.99
158,0,microsoft office 2004 professional ( mac ),microsoft,499.99,microsoft ( r ) windows ( r ) xp professional edition with sp2,,199.99
159,0,adobe photoshop cs3 extended upgrade [ mac ],adobe,349.0,adobe photoshop cs3 extended software full version for macintosh,,969.0
160,0,family tree maker version 16 collectors edition,encore software,,encore software 10881 family tree maker version 16 standard sb cs by family tree maker,,42.97
161,0,instant immersion language lab deluxe edition,topics entertainment,,instant immersion 33 languages,,47.36
162,0,emedia intermediate guitar method os x,emedia,59.99,emedia music corp emedia intermediate guitar method,,49.21
163,0,apple final cut studio 2 ( mac ),apple,1299.0,ma888z/a final cut studio v. 2 version upgrade package 1 seat dvd mac,,460.7
164,0,steinberg cubase studio 4,steinberg,499.99,steinberg studio case 2 music production system educational discount music production software,,164.95
165,0,punch ! master landscape & home design,punch ! software,59.99,instant landscape design 3.0,,17.9
166,0,registry mechanic by encore software,encore software,46.52,software,,736.95
167,0,cubase 4 competitive crossgrade,steinberg ( yamaha ),549.99,steinberg wavelab studio 6 audio editing software competitive crossgrade music production software,,199.95
168,1,autocad 2007 courseware customizing the interface,autodesk psg,47.95,autocad 2007 coursewarecustomizing the interface,,39.69
169,1,humorous greeting card factory,nova development,29.99,nova development ghw humorous greeting card factory,nova development,29.99
170,0,punch ! 5 in 1 home design,punch ! software,39.99,punch software 20100 punch ! 5 in 1 home design,punch software,35.99
171,0,adobe premiere pro 2.0,adobe,849.0,adobe premiere pro cs3 video editing software for mac av production software,,798.95
172,0,microsoft mappoint 2006 standard edition,microsoft,299.0,microsoft word 2007 upgrade ( pc ),,109.95
173,0,hallmark card studio 2005 deluxe,sierra home,49.99,sierrahome hse hallmark card studio special edition win 98 me 2000 xp,sierrahome,19.26
174,0,instant immersion italian 2.0,topics entertainment,29.99,instant immers spanish dlux 2,,36.11
175,1,burning monkey solitaire 2005 edition,freeverse software,24.99,freeverse burning monkey solitaire 3d,,24.99
176,0,aquarium 3-in-one collection ( win/mac ),encore software,19.99,fallout collection ( dvd-rom ),,24.49
177,0,microsoft office & windows training,topics entertainment,29.99,microsoft microsoft office pro 2004 software suite mac apple & mac software,,498.95
178,0,steinberg cubase 4 digital audio software,steinberg,999.99,sony media software sound forge 9 digital audio production suite music production software,,299.95
179,0,adobe photoshop cs2 ( mac ) [ old version ],adobe,649.0,adobe pagemaker 7.0 for mac version upgrade,,79.99
180,0,diskeeper 2007 professional single lic pack,diskeeper corporation,79.21,microsoft office accounting professional 2007 ( pc ),,229.95
181,0,adobe creative suite cs3 design premium upgrade [ mac ],adobe,599.0,adobe cs3 web premium upgrade,,517.99
182,0,punch ! professional home design suite,punch ! software,69.99,punch software 14100 punch ! home design suite professional architectural 1 user ( s ) pc,,59.97
183,0,instant immersion japanese ( audio book ),topics entertainment,,instant immersion 33 languages,,47.36
184,0,peachtree by sage pro accounting 2007,sage software,169.99,laser checks for peachtree ( r ) accounting for windows 8.0-2005,,106.29
185,0,allume aquazone seven seas deluxe,allume,38.89,allume aquazone bass edition,smith-micro-software,19.99
186,0,marine aquarium 2.0 ( pc & mac ),encore,29.99,marine aquarium & goldfish aquarium,,19.99
187,1,hp sp linux we 50 lic/cd 3.0 c t3586a ),hewlett-packard - ( consumables ),,sp linux we 50 lic/cd 3.0 c,hewlett-packard - ( consumables ),69216.95
188,1,microsoft office & windows training,topics entertainment,29.99,microsoft office and windows training ( win 98 me nt 2000 xp ),,29.95
189,1,textbridge pro 11,nuance-communications-inc .,79.99,scansoft textbridge pro v. 11,nuance-communications-inc .,68.99
190,0,adobe production studio premium,adobe,1699.0,adobe production premium cs3 software suite for windows professional editing software,,1698.95
191,0,adobe dreamweaver cs3 upgrade,adobe,199.0,adobe illustrator cs3 upgrade from freehand for mac,,206.99
192,0,adobe creative suite cs3 design premium [ mac ],adobe,1799.0,adobe creative suite 3 ( cs3 ) design suite standard upgrade ( upsell ) mac,,859.96
193,0,microsoft data analyzer 2002,microsoft,179.0,microsoft office 2004 std upgrade,,219.99
194,0,adobe photoshop elements 4.0 plus adobe premiere elements 2.0 complete package 1 user cd mini-box win canadian french 29180162 ),adobe systems inc,,prw photo explosion deluxe v. 3.0 complete package 1 user cd win,,47.6
195,0,adobe after effects professional 7.0,adobe,999.0,adobe acrobat v8 .0 professional for mac academic,adobe-education-box,159.99
196,0,punch ! home design architectural series 4000 v10,punch ! software,199.99,punch software 42100 punch ! home design architectural series 18 complete product architectural 1 user ( s ) complete product standard english pc,,108.97
197,0,m-audio pro tools m-powered 7.3 m-audio compatible world-class production software,m-audio,299.99,apple/emagic logic pro 7.2 software music production software,,999.0
198,0,instant immersion italian platinum,topics entertainment,129.99,instant immersion japanese ( audio book ) ( audio book ),,19.95
199,0,elementary advantage 2008,encore software,,encore software 12361 encore elementary advantage 2008 training/wbt pc,,33.97
200,0,quickverse mac bible study 2007 white box,findex,59.95,findex.com inc quickverse mac bible study 2007 gold box,,215.42
201,0,m-audio pro tools m-powered 7.3 m-audio compatible world-class production software,m-audio,299.99,adobe soundbooth cs3 audio editing software windows music production software,,198.95
202,0,pinnacle mobile media organizer,pinnacle,49.99,pinnacle mobile media converter software for windows ipod software,,29.95
203,1,adobe soundbooth cs3 [ mac ],adobe,199.0,adobe soundbooth cs3 audio editing software mac music production software,,198.95
204,0,microsoft office 2004 standard ( mac ),microsoft,399.99,microsoft office outlook 2007,,109.95
205,0,adobe creative suite cs3 design premium upgrade [ mac ],adobe,599.0,adobe cs3 design premium upsell,,1639.99
206,0,symantec client security 3.1 with groupware protection business pack 50 user,symantec,3732.0,10517940 symantec client security with groupware protection business pack v. 3.1 -,,3323.92
207,0,ca internet security suite 2007 3 user,computer associates,69.95,quickbooks pro 2007 3 user,intuit,398.99
208,0,adobe photoshop cs3 [ mac ],adobe,649.0,adobe ( r ) photoshop ( r ) 7.0 upgrade for pc,,679.99
209,0,microsoft excel 2004 ( mac ),microsoft,229.99,microsoft ( r ) works suite 2006,,99.99
210,0,microsoft office & windows training,topics entertainment,29.99,microsoft windows vista business 32-bit oem,,149.99
211,0,microsoft word 2004 upgrade ( mac ),microsoft,109.99,microsoft excel 2004 spreadsheet software mac apple & mac software,,228.95
212,0,business card factory deluxe 3.0,nova development,29.99,nova greeting card factory for mac,,41.99
213,0,middle school success essentials,topics entertainment,29.99,middle school success deluxe 2008 ( pc/mac ) topics,,49.99
214,0,systemsuite 8 professional,individual software,49.99,sibelius sibelius photoscore professional 4,,145.7
215,0,quickbooks pos : pro multistore 6.0,intuit inc.,1399.95,quickbooks ( r ),,103.99
216,0,symc backup exec sbs std 11d win small business server standard,symantec,811.21,10759333 symantec backup exec 11d for windows servers central admin server option compl,,1219.72
217,0,microsoft windows server 2003 client additional license for users-5 pack,microsoft,809.0,f89-00346 microsoft internet security and acceleration server enterprise edition license,,537.72
218,0,palo alto business plan pro premier 2007,palo-alto-software,199.0,quicken ( r ) premier 2007,,79.99
219,1,the print shop 22 deluxe,encore,49.99,the printshop v22 deluxe,,29.9
220,0,microsoft excel 2004 ( mac ),microsoft,229.99,microsoft word 2004 upgrade for mac os x apple & mac software,,108.95
221,0,3d home architect landscape design deluxe version 9,encore,29.99,encore inc 3d home architect home design deluxe version 9,,25.49
222,0,onone software intellihance pro 4.1,onone software,,onone software plug-in suite full,,393.68
223,0,microsoft windows vista home basic upgrade [ dvd ],microsoft,99.95,microsoft ( r ) powerpoint ( r ) 2002 upgrade,,108.87
224,0,microsoft visual studio professional w/msdn professional 2005 renewal,microsoft software,799.0,microspot macdraft professional edition,,249.99
225,0,adobe acrobat standard 8.0,adobe,449.99,adobe cs3 design standard upsell,,934.99
226,0,microsoft office frontpage 2003 academic version windows ),microsoft,159.98,microsoft onenote 2007 ( pc ),,99.95
227,1,computrace lojack for laptops 4 year subscription,absolute software,119.99,absolute software lfl-n2-48 computrace lojack for laptops 4 year license,,105.68
228,0,microsoft publisher 2007 version upgrade,microsoft,99.95,microsoft ( r ) powerpoint ( r ) 2002 upgrade,,108.87
229,0,adobe creative suite cs3 design premium upgrade [ mac ],adobe,599.0,adobe contribute cs3 upgrade,,82.99
230,0,adobe flash pro cs3 upgrade [ mac ],adobe,199.0,adobe pagemaker 7.0 for mac version upgrade,,79.99
231,0,quickbooks credit card processing kit 3.0,intuit,39.95,quickbooks ( r ),,199.99
232,0,instant immersion spanish audio deluxe,topics entertainment,39.95,topics entertainment instant immersion german 2.0,,17.55
233,0,professional home design suite platinum,punch ! software,99.95,punch software pro home design suite,,61.8
234,0,vcomm system suite professional 7,avanquest,49.95,adobe cs3 flash professional,,724.99
235,0,quickbooks pro 2007 for mac ( mac ),intuit,199.95,quickbooks ( r ) premier 2003,,499.99
236,0,microsoft office 2004 standard ( mac ),microsoft,399.99,microsoft office visio standard 2007 upgrade ( pc ),,129.95
237,0,adobe after effects cs3,adobe,999.0,adobe after effects professional 7.0 software effects software,,998.95
238,0,dreamweaver cs3 9 mac ed 1u,adobe-education-box,199.0,adobe dreamweaver cs3 complete package 1 user academic cd mac,,189.0
239,1,namo webeditor 2006,namo,99.99,csdc namo webeditor suite 2006,,83.92
240,0,adobe creative suite cs3 web standard,adobe,999.0,total training for adobe creative suite 3 design premium,,279.95
241,0,microsoft excel 2004 ( mac ),microsoft,229.99,microsoft microsoft office 2004 software suite mac education apple & mac software,,148.95
242,0,quickbooks premier professional services edition 2007,intuit,399.95,quickbooks ( r ) pro 2007 edition 3-user,,499.99
243,0,microsoft visual studio professional 2005 upgrade,microsoft software,549.0,microsoft visual basic . net standard 2003,,108.95
