title,authors,venue,year,id
temporal conditions and integrity constraints in active database systems,"a. prasad sistla , ouri wolfson",international conference on management of data,1995,25
ansi sql hierarchical processing can fully integrate native xml,michael m. david,acm sigmod record,2003,26
warping indexes with envelope transforms for query by humming,"yunyue zhu , dennis shasha",international conference on management of data,2003,27
influential papers,ken ross,acm sigmod record,2002,28
database research at arizona state university,"susan d. urban , suzanne w. dietrich , forouzan golshani",acm sigmod record,1996,29
dwms : data warehouse management system,narendra mohan,very large data bases,1996,30
incremental maintenance of recursive views using relational calculus/sql,"guozhu dong , jianwen su",acm sigmod record,2000,31
an effective deductive object-oriented database through language integration,"maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn",very large data bases,1994,32
opossum : desk-top schema management through customizable visualization,"eben m. haber , yannis e. ioannidis , miron livny",very large data bases,1995,33
scalable parallel data mining for association rules,"eui-hong han , george karypis , vipin kumar",international conference on management of data,1997,34
naos - efficient and modular reactive capabilities in an object-oriented database system,"christine collet , thierry coupaye , t. svensen",very large data bases,1994,35
a foundation for multi-dimensional databases,"marc gyssens , laks v. s. lakshmanan",very large data bases,1997,36
"a query language for multidimensional arrays : design , implementation , and optimization techniques","leonid libkin , rona machlin , limsoon wong",international conference on management of data,1996,37
comprehension syntax,"peter buneman , leonid libkin , dan suciu , val tannen , limsoon wong",acm sigmod record,1994,38
efficient index structures for string databases,"tamer kahveci , ambuj k. singh",very large data bases,2001,39
revisiting commit processing in distributed database systems,"ramesh gupta , jayant haritsa , krithi ramamritham",international conference on management of data,1997,40
a scalable architecture for autonomous heterogeneous database interactions,"steven milliner , athman bouguettaya , mike p. papazoglou",very large data bases,1995,41
environmental information systems,oliver g &#252; nther,acm sigmod record,1997,42
sequence query processing,"praveen seshadri , miron livny , raghu ramakrishnan",international conference on management of data,1994,43
beyond market baskets : generalizing association rules to correlations,"sergey brin , rajeev motwani , craig silverstein",international conference on management of data,1997,44
lineage tracing for general data warehouse transformations,"yingwei cui , jennifer widom",very large data bases,2001,45
editorial,richard snodgrass,acm transactions on database systems ( tods ),2001,46
a new sql-like operator for mining association rules,"rosa meo , giuseppe psaila , stefano ceri",very large data bases,1996,47
minimization of tree pattern queries,"sihem amer-yahia , sungran cho , laks v. s. lakshmanan , divesh srivastava",international conference on management of data,2001,48
query optimization in compressed database systems,"zhiyuan chen , johannes gehrke , flip korn",international conference on management of data,2001,49
reminiscences on influential papers,kenneth a. ross,acm sigmod record,2003,50
user-defined table operators : enhancing extensibility for ordbms,"michael jaedicke , bernhard mitschang",very large data bases,1999,51
selectivity estimation in spatial databases,"swarup acharya , viswanath poosala , sridhar ramaswamy",international conference on management of data,1999,52
describing and using query capabilities of heterogeneous sources,"vasilis vassalos , yannis papakonstantinou",very large data bases,1997,53
a cost model for clustered object-oriented databases,"georges gardarin , jean-robert gruser , zhao-hui tang",very large data bases,1995,54
filtering with approximate predicates,"narayanan shivakumar , hector garcia-molina , chandra chekuri",very large data bases,1998,55
probabilistic optimization of top n queries,"donko donjerkovic , raghu ramakrishnan",very large data bases,1999,56
hierarchical compact cube for range-max queries,"sin yeung lee , tok wang ling , hua-gang li",very large data bases,2000,57
opt + + : an object-oriented implementation for extensible database query optimization,"navin kabra , david j. dewitt",the vldb journal -- the international journal on very large data bases,1999,58
implementing deductive databases by mixed integer programming,"colin bell , anil nerode , raymond t. ng , v. s. subrahmanian",acm transactions on database systems ( tods ),1996,59
dynamic update cube for range-sum queries,"seok-ju chun , chin-wan chung , ju-hong lee , seok-lyong lee",very large data bases,2001,60
factorizing complex predicates in queries to exploit indexes,"surajit chaudhuri , prasanna ganesan , sunita sarawagi",international conference on management of data,2003,61
space optimization in deductive databases,"divesh srivastava , s. sudarshan , raghu ramakrishnan , jeffrey f. naughton",acm transactions on database systems ( tods ),1995,62
using the calanda time series management system,"werner dreyer , angelika kotz dittrich , duri schmidt",international conference on management of data,1995,63
efficient algorithms for minimizing tree pattern queries,prakash ramanan,international conference on management of data,2002,64
on efficiently implementing schemasql on an sql database system,"laks v. s. lakshmanan , fereidoon sadri , subbu n. subramanian",very large data bases,1999,65
the aqua approximate query answering system,"swarup acharya , phillip b. gibbons , viswanath poosala , sridhar ramaswamy",international conference on management of data,1999,66
integrating modelling systems for environmental management information systems,"david j. abel , kerry taylor , dean kun",acm sigmod record,1997,67
secure buffering in firm real-time database systems,"binto george , jayant r. haritsa",the vldb journal -- the international journal on very large data bases,2000,68
towards automated performance tuning for complex workloads,"kurt p. brown , manish mehta , michael j. carey , miron livny",very large data bases,1994,69
book reviews,karl aberer,acm sigmod record,2002,70
cache conscious algorithms for relational query processing,"ambuj shatdal , chander kant , jeffrey f. naughton",very large data bases,1994,71
the mariposa distributed database management system,jeff sidell,acm sigmod record,1996,72
report on the fourth international conference on flexible query answering systems ( fqas 2000 ),"patrick bosc , amihai motro , gabriella pasi",acm sigmod record,2001,73
exact : an extensible approach to active object-oriented databases,"oscar d &#237; az , arturo jaime",the vldb journal -- the international journal on very large data bases,1997,74
aqr-toolkit : an adaptive query routing middleware for distributed data intensive systems,"ling liu , calton pu , david buttler , wei han , henrique paques , wei tang",international conference on management of data,2000,75
the aggregate data problem : a system for their definition and management,"m. rafanelli , a. bezenchek , l. tininini",acm sigmod record,1996,76
"a robust , optimization-based approach for approximate answering of aggregate queries","surajit chaudhuri , gautam das , vivek narasayya",international conference on management of data,2001,77
delaunay : a database visualization system,"isabel f. cruz , m. averbuch , wendy t. lucas , melissa radzyminski , kirby zhang",international conference on management of data,1997,78
location-based spatial queries,"jun zhang , manli zhu , dimitris papadias , yufei tao , dik lun lee",international conference on management of data,2003,79
outerjoin simplification and reordering for query optimization,"c &#233; sar galindo-legaria , arnon rosenthal",acm transactions on database systems ( tods ),1997,80
1-safe algorithms for symmetric site configurations,"rune humborstad , maitrayi sabaratnam , svein-olaf hvasshovd , &#216; ystein torbj &#248; rnsen",very large data bases,1997,81
tail recursion elimination in deductive databases,kenneth a. ross,acm transactions on database systems ( tods ),1996,82
report on first international workshop on real-time database systems,"azer bestavros , kwei-jay lin , sang son",acm sigmod record,1996,83
parallel algorithms for high-dimensional similarity joins for data mining applications,"john c. shafer , rakesh agrawal",very large data bases,1997,84
turbo-charging vertical mining of large databases,"pradeep shenoy , jayant r. haritsa , s. sundarshan , gaurav bhalotia , mayank bawa , devavrat shah",international conference on management of data,2000,85
the araneus web-based management system,"g. mecca , p. atzeni , a. masci , g. sindoni , p. merialdo",international conference on management of data,1998,86
guest editorial,"amr el abbadi , gunter schlageter , kyu-young whang",the vldb journal -- the international journal on very large data bases,2001,87
nearest neighbor queries,"nick roussopoulos , stephen kelley , fr &#233; d &#233; ric vincent",international conference on management of data,1995,88
metu object-oriented dbms,"asuman dogac , budak arpinar , cem evrendilek , cetin ozkan , ilker altintas , ilker durusoy , mehmet altinel , tansel okay , yuksel saygin",international conference on management of data,1994,89
congressional samples for approximate answering of group-by queries,"swarup acharya , phillip b. gibbons , viswanath poosala",international conference on management of data,2000,90
optimizing queries over multimedia repositories,"surajit chaudhuri , luis gravano",international conference on management of data,1996,91
description logics for semantic query optimization in object-oriented database systems,"domenico beneventano , sonia bergamaschi , claudio sartori",acm transactions on database systems ( tods ),2003,92
themis : a database programming language handling integrity constraints,"v &#233; ronique benzaken , anne doucet",the vldb journal -- the international journal on very large data bases,1995,93
actiview : adaptive data presentation using supersql,"yoko maeda , motomichi toyama",very large data bases,2001,94
the x-tree : an index structure for high-dimensional data,"stefan berchtold , daniel a. keim , hans-peter kriegel",very large data bases,1996,95
efficiently publishing relational data as xml documents,"jayavel shanmugasundaram , eugene j. shekita , rimon barr , michael j. carey , bruce g. lindsay , hamid pirahesh , berthold reinwald",very large data bases,2000,96
dbsim : a simulation tool for predicting database performance,"mark lefler , mark stokrp , craig wong",international conference on management of data,1996,97
report on ngits  99 : the fourth international workshop on next generation information technologies and systems,opher etzion,acm sigmod record,1999,98
querying multiple features of groups in relational databases,"damianos chatziantoniou , kenneth a. ross",very large data bases,1996,99
efficient filtering of xml documents for selective dissemination of information,"mehmet altinel , michael j. franklin",very large data bases,2000,100
data warehouse configuration,"dimitri theodoratos , timos k. sellis",very large data bases,1997,101
composing xsl transformations with xml publishing views,"chengkai li , philip bohannon , p. p. s. narayan",international conference on management of data,2003,102
reminiscences in influential papers,richard snodgrass,acm sigmod record,1998,103
a system for watermarking relational databases,"rakesh agrawal , peter j. haas , jerry kiernan",international conference on management of data,2003,104
report on fqas 2002 : fifth international conference on flexible query answering systems,"amihai motro , troels andreasen",acm sigmod record,2003,105
why decision support fails and how to fix it,"ralph kimball , kevin strehlo",acm sigmod record,1995,106
data warehousing and olap for decision support,"surajit chaudhuri , umeshwar dayal",international conference on management of data,1997,107
data page layouts for relational databases on deep memory hierarchies,"anastassia ailamaki , david j. dewitt , mark d. hill",the vldb journal -- the international journal on very large data bases,2002,108
data grid management systems,"arun jagatheesan , arcot rajasekar",international conference on management of data,2003,109
views in a large-scale xml repository,"vincent aguilera , sophie cluet , tova milo , pierangelo veltri , dan vodislav",the vldb journal -- the international journal on very large data bases,2002,110
automata theory for xml researchers,frank neven,acm sigmod record,2002,111
investigation of algebraic query optimisation techniques for database programming languages,"alexandra poulovassilis , carol small",very large data bases,1994,112
rainbow : multi-xquery optimization using materialized xml views,"xin zhang , katica dimitrova , ling wang , maged el sayed , brian murphy , bradford pielech , mukesh mulchandani , luping ding , elke a. rundensteiner",international conference on management of data,2003,113
semantic integration in heterogeneous databases using neural networks,"wen-syan li , chris clifton",very large data bases,1994,114
catching the boat with strudel : experiences with a web-site management system,"mary fern &#225; ndez , daniela florescu , jaewoo kang , alon levy , dan suciu",international conference on management of data,1998,115
index concurrency control in firm real-time database systems,"brajesh goyal , jayant r. haritsa , s. seshadri , v. srinivasan",very large data bases,1995,116
a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database system,"kun-lung wu , philip s. yu , jen-yao chung , james z. teng",very large data bases,1995,117
zoo : a desktop experiment management environment,"yannis e. ioannidis , miron livny , s. gupta , nagavamsi ponnekanti",very large data bases,1996,118
database research at the university of illinois at urbana-champaign,"m. winslett , k. chang , a. doan , j. han , c. zhai , y. zhou",acm sigmod record,2002,119
a scalable and highly available networked database architecture,"roger bamford , rafiul ahad , angelo pruscino",very large data bases,1999,120
safe query languages for constraint databases,peter z. revesz,acm transactions on database systems ( tods ),1998,121
an efficient algorithm for mining association rules in large databases,"ashoka savasere , edward omiecinski , shamkant b. navathe",very large data bases,1995,122
an experimental object-based sharing system for networked databases,"doug fang , shahram ghandeharizadeh , dennis mcleod",the vldb journal -- the international journal on very large data bases,1996,123
xpath queries on streaming data,"feng peng , sudarshan s. chawathe",international conference on management of data,2003,124
versioning and configuration management in an object-oriented data model,edward sciore,the vldb journal -- the international journal on very large data bases,1994,125
"active storage hierarchy , database systems and applications - socratic exegesis","felipe cari &#241; o , william oconnell , john burgess , joel h. saltz",very large data bases,1999,126
semantic assumptions and query evaluation in temporal databases,"claudio bettini , x. sean wang , elisa bertino , sushil jajodia",international conference on management of data,1995,127
qc-trees : an efficient summary structure for semantic olap,"laks v. s. lakshmanan , jian pei , yan zhao",international conference on management of data,2003,128
optimizing disjunctive queries with expensive predicates,"a. kemper , g. moerkotte , k. peithner , m. steinbrunn",international conference on management of data,1994,129
report on dart  96 : databases : active and real-time ( concepts meet practice ),"krithi ramamritham , nandit soparkar",acm sigmod record,1997,130
optimization of run-time management of data intensive web-sites,"daniela florescu , alon y. levy , dan suciu , khaled yagoub",very large data bases,1999,131
enterprise transaction processing on windows nt,greg hope,international conference on management of data,1995,132
mining system audit data : opportunities and challenges,"wenke lee , wei fan",acm sigmod record,2001,133
optimizing multi-feature queries for image databases,"ulrich g &#252; ntzer , wolf-tilo balke , werner kie &#223; ling",very large data bases,2000,134
real business processing meets the web,james chong,international conference on management of data,1998,135
starts : stanford proposal for internet meta-searching,"luis gravano , chen-chuan k. chang , h &#233; ctor garc &#237; a-molina , andreas paepcke",international conference on management of data,1997,136
logical design for temporal databases with multiple granularities,"x. sean wang , claudio bettini , alexander brodsky , sushil jajodia",acm transactions on database systems ( tods ),1997,137
distributed processing over stand-alone systems and applications,"gustavo alonso , claus hagen , hans-j &#246; rg schek , markus tresch",very large data bases,1997,138
spatial and temporal content-based access to hypervideo databases,"haitao jiang , ahmed k. elmagarmid",the vldb journal -- the international journal on very large data bases,1998,139
materialized views in oracle,"randall g. bello , karl dias , alan downing , james j. feenan , jr. , james l. finnerty , william d. norcott , harry sun , andrew witkowski , mohamed ziauddin",very large data bases,1998,140
query rewriting for semistructured data,"yannis papakonstantinou , vasilis vassalos",international conference on management of data,1999,141
database research at the university of oklahoma,"le gruenwald , leonard brown , ravi dirckze , sylvain guinepain , carlos sanchez , brian summers , sirirut vanichayobon",acm sigmod record,1999,142
online query processing : a tutorial,"peter j. haas , joseph m. hellerstein",international conference on management of data,2001,143
a hypertext query language for images,li yang,acm sigmod record,1994,144
modelling and querying video data,"rune hjelsvold , roger midtstraum",very large data bases,1994,145
binding propagation in disjunctive databases,sergio greco,very large data bases,1998,146
data mining with optimized two-dimensional association rules,"takeshi fukuda , yasuhiko morimoto , shimichi morishita , takeshi tokuyama",acm transactions on database systems ( tods ),2001,147
a query language for a web-site management system,"mary fernandez , daniela florescu , alon levy , dan suciu",acm sigmod record,1997,148
coloring away communication in parallel query optimization,"waqar hasan , rajeev motwani",very large data bases,1995,149
database techniques for the world-wide web : a survey,"daniela florescu , alon levy , alberto mendelzon",acm sigmod record,1998,150
the design and implementation of a sequence database system,"praveen seshadri , miron livny , raghu ramakrishnan",very large data bases,1996,151
optimizing queries with universal quantification in object-oriented and object-relational databases,"jens clau &#223; en , alfons kemper , guido moerkotte , klaus peithner",very large data bases,1997,152
psoup : a system for streaming queries over streaming data,"sirish chandrasekaran , michael j. franklin",the vldb journal -- the international journal on very large data bases,2003,153
"high-performance and scalability through application tier,in-memory data management",,very large data bases,2000,154
the ccube constraint object-oriented database system,"alexander brodsky , victor e. segal , jia chen , paval a. exarkhopoulo",international conference on management of data,1999,155
data bubbles : quality preserving performance boosting for hierarchical clustering,"markus m. breunig , hans-peter kriegel , peer kr &#246; ger , j &#246; rg sander",international conference on management of data,2001,156
algorithms for deferred view maintenance,"latha s. colby , timothy griffin , leonid libkin , inderpal singh mumick , howard trickey",international conference on management of data,1996,157
efficient and cost-effective techniques for browsing and indexing large video databases,"junghwan oh , kien a. hua",international conference on management of data,2000,158
efficient dynamic mining of constrained frequent sets,"laks v. s. lakshmanan , carson kai-sang leung , raymond t. ng",acm transactions on database systems ( tods ),2003,159
roadrunner : automatic data extraction from data-intensive web sites,"valter crescenzi , giansalvatore mecca , paolo merialdo",international conference on management of data,2002,160
lore : a database management system for semistructured data,"jason mchugh , serge abiteboul , roy goldman , dallas quass , jennifer widom",acm sigmod record,1997,161
3d geographic network displays,"kenneth c. cox , stephen g. eick , taosong he",acm sigmod record,1996,162
mining generalized association rules,"ramakrishnan srikant , rakesh agrawal",very large data bases,1995,163
surfing wavelets on streams : one-pass summaries for approximate aggregate queries,"anna c. gilbert , yannis kotidis , s. muthukrishnan , martin strauss",very large data bases,2001,164
icicles : self-tuning samples for approximate query answering,"venkatesh ganti , mong-li lee , raghu ramakrishnan",very large data bases,2000,165
book review column,karl aberer,acm sigmod record,2003,166
sql query optimization : reordering for a general class of queries,"piyush goel , bala iyer",international conference on management of data,1996,167
a fast index for semistructured data,"brian cooper , neal sample , michael j. franklin , gisli r. hjaltason , moshe shadmon",very large data bases,2001,168
database principles,leonid libkin,acm sigmod record,2003,169
applying update streams in a soft real-time database system,"b. adelberg , h. garcia-molina , b. kao",international conference on management of data,1995,170
a flexible and recoverable client/server database event notification system,"eric n. hanson , i.-cheng chen , roxana dastur , kurt engel , vijay ramaswamy , wendy tan , chun xu",the vldb journal -- the international journal on very large data bases,1998,171
extraction of object-oriented structures from existing relational databases,"shekar ramanathan , julia hodges",acm sigmod record,1997,172
dynamic sample selection for approximate query processing,"brian babcock , surajit chaudhuri , gautam das",international conference on management of data,2003,173
"design , implementation , and performance of the lham log-structured history data access method","peter muth , patrick e. oneil , achim pick , gerhard weikum",very large data bases,1998,174
a cost model for query processing in high dimensional data spaces,christian b &#246; hm,acm transactions on database systems ( tods ),2000,175
object-oriented extensions in sql3 : a status report,krishna g. kulkarni,international conference on management of data,1994,176
xquery : a query language for xml,don chamberlin,international conference on management of data,2003,177
interviso : dealing with the complexity of federated database access,"marjorie templeton , herbert henley , edward maros , darrel j. van buer",the vldb journal -- the international journal on very large data bases,1995,178
report on the 1995 international workshop on temporal databases,"arie segev , christian s. jensen , richard thomas snodgrass",acm sigmod record,1995,179
florida international university high performance database research center,"naphtali rishe , wei sun , david barton , yi deng , cyril orji , michael alexopoulos , leonardo loureiro , carlos ordonez , mario sanchez , artyom shaposhnikov",acm sigmod record,1995,180
"watermarking relational data : framework , algorithms and analysis","rakesh agrawal , peter j. haas , jerry kiernan",the vldb journal -- the international journal on very large data bases,2003,181
groupwise processing of relational queries,"damianos chatziantoniou , kenneth a. ross",very large data bases,1997,182
efficiently mining long patterns from databases,"roberto j. bayardo , jr.",international conference on management of data,1998,183
the ores temporal database management system,"babis theodoulidis , aziz ait-braham , george andrianopoulos , jayant chaudhary , george karvelis , simon sou",international conference on management of data,1994,184
telegraphcq : continuous dataflow processing,"sirish chandrasekaran , owen cooper , amol deshpande , michael j. franklin , joseph m. hellerstein , wei hong , sailesh krishnamurthy , samuel r. madden , fred reiss , mehul a. shah",international conference on management of data,2003,185
the hcc-tree : an efficient index structure for object oriented databases,"b. sreenath , s. seshadri",very large data bases,1994,186
design principles for data-intensive web sites,"stefano ceri , piero fraternali , stefano paraboschi",acm sigmod record,1999,187
are the terms version and variant orthogonal to one another ?,hartmut wedekind,acm sigmod record,1994,188
online association rule mining,christian hidber,international conference on management of data,1999,189
simultaneous optimization and evaluation of multiple dimensional queries,"yihong zhao , prasad m. deshpande , jeffrey f. naughton , amit shukla",international conference on management of data,1998,190
xquery formal semantics state and challenges,peter fankhauser,acm sigmod record,2001,191
reasoning on regular path queries,"d. calvanese , g. de giacomo , m. lenzerini , m. y. vardi",acm sigmod record,2003,192
adept : an agent-based approach to business process management,"n. r. jennings , t. j. norman , p. faratin",acm sigmod record,1998,193
research issues in databases for arcs : active rapidly changing data systems,anindya datta,acm sigmod record,1994,194
efficient processing of joins on set-valued attributes,nikos mamoulis,international conference on management of data,2003,195
lopix : a system for xml data integration and manipulation,wolfgang may,very large data bases,2001,196
the structured information manager : a database system for sgml documents,ron sacks-davis,very large data bases,1996,197
mapinfo spatialware : a spatial information server for rdbms,chebel mina,very large data bases,1998,198
probview : a flexible probabilistic database system,"laks v. s. lakshmanan , nicola leone , robert ross , v. s. subrahmanian",acm transactions on database systems ( tods ),1997,199
relaxed transaction processing,"munindar p. singh , christine tomlinson , darrell woelk",international conference on management of data,1994,200
concurrency control in hierarchical multidatabase systems,"sharad mehrotra , henry f. korth , avi silberschatz",the vldb journal -- the international journal on very large data bases,1997,201
qursed : querying and reporting semistructured data,"yannis papakonstantinou , michalis petropoulos , vasilis vassalos",international conference on management of data,2002,202
the gmap : a versatile tool for physical data independence,"odysseas g. tsatalos , marvin h. solomon , yannis e. ioannidis",very large data bases,1994,203
a componentized architecture for dynamic electronic markets,"benny reich , israel ben-shaul",acm sigmod record,1998,204
xml data management ( panel session ) : go native or spruce up relational systems ?,"per - &#197; ke larson , dana florescu , goetz graefe , guido moerkotte , hamid pirahesh , harald sch &#246; ning",international conference on management of data,2001,205
relational databases for querying xml documents : limitations and opportunities,"jayavel shanmugasundaram , kristin tufte , chun zhang , gang he , david j. dewitt , jeffrey f. naughton",very large data bases,1999,206
a raster approximation for processing of spatial joins,"geraldo zimbrao , jano moreira de souza",very large data bases,1998,207
management of semistructured data,dan suciu,acm sigmod record,1997,208
the network is the database : data management for highly distributed systems,"julio c. navas , michael wynblatt",international conference on management of data,2001,209
webview materialization,"alexandros labrinidis , nick roussopoulos",international conference on management of data,2000,210
database research at nthu and itri,arbee l. p. chen,acm sigmod record,1994,211
an introduction to deductive database languages and systems,"kotagiri ramamohanarao , james harland",the vldb journal -- the international journal on very large data bases,1994,212
repositories and object oriented databases,philip a. bernstein,acm sigmod record,1998,213
semantics for update rule programs and implementation in a relational database management system,"louiqa raschid , jorge lobo",acm transactions on database systems ( tods ),1996,214
tam : a system for dynamic transactional activity management,"tong zhou , ling liu , calton pu",international conference on management of data,1999,215
nsf workshop on industrial/academic cooperation in database systems,"mike carey , len seligman",acm sigmod record,1999,216
optimizing queries on compressed bitmaps,"sihem amer-yahia , theodore johnson",very large data bases,2000,217
a new approach to developing and implementing eager database replication protocols,"bettina kemme , gustavo alonso",acm transactions on database systems ( tods ),2000,218
multi-dimensional substring selectivity estimation,"h. v. jagadish , olga kapitskaia , raymond t. ng , divesh srivastava",very large data bases,1999,219
explaining differences in multidimensional aggregates,sunita sarawagi,very large data bases,1999,220
"olap , relational , and multidimensional database systems",george colliat,acm sigmod record,1996,221
distance-based outliers : algorithms and applications,"edwin m. knorr , raymond t. ng , vladimir tucakov",the vldb journal -- the international journal on very large data bases,2000,222
fast algorithms for universal quantification in large databases,"goetz graefe , richard l. cole",acm transactions on database systems ( tods ),1995,223
mpeg-7 and multimedia database systems,harald kosch,acm sigmod record,2002,224
partition based spatial-merge join,"jignesh m. patel , david j. dewitt",international conference on management of data,1996,225
approximate query processing using wavelets,"kaushik chakrabarti , minos n. garofalakis , rajeev rastogi , kyuseok shim",very large data bases,2000,226
research activities in database management and information retrieval at university of illinois at chicago,"isabel cruz , ashfaq khokhar , bing liu , prasad sistla , ouri wolfson , clement yu",acm sigmod record,2002,227
the asilomar report on database research,"phil bernstein , michael brodie , stefano ceri , david dewitt , mike franklin , hector garcia-molina , jim gray , jerry held , joe hellerstein , h. v. jagadish , michael lesk , dave maier , jeff naughton , hamid pirahesh , mike stonebraker , jeff ullman",acm sigmod record,1998,228
dynamic maintenance of data distribution for selectivity estimation,"kyu young whang , sang wook kim , gio wiederhold",the vldb journal -- the international journal on very large data bases,1994,229
the wasa2 object-oriented workflow management system,"gottfried vossen , mathias weske",international conference on management of data,1999,230
fault tolerant design of multimedia servers,"steven berson , leana golubchik , richard r. muntz",international conference on management of data,1995,231
generalized search trees for database systems,"joseph m. hellerstein , jeffrey f. naughton , avi pfeffer",very large data bases,1995,232
"on building an infrastructure for mobile and wireless systems : report on the nsf workshop on an infrastructure for mobile and wireless systems , oct. 15 , 2001","birgitta k &#246; nig-ries , kia makki , sam makki , charles perkins , niki pissinou , peter reiher , peter scheuermann , jari veijalainen , ouri wolfson",acm sigmod record,2002,233
schema and database evolution in the o2 object database system,"fabrizio ferrandina , thorsten meyer , roberto zicari , guy ferran , jo &#235; lle madec",very large data bases,1995,234
on supporting containment queries in relational database management systems,"chun zhang , jeffrey naughton , david dewitt , qiong luo , guy lohman",international conference on management of data,2001,235
a general technique for querying xml documents using a relational database system,"jayavel shanmugasundaram , eugene shekita , jerry kiernan , rajasekar krishnamurthy , efstratios viglas , jeffrey naughton , igor tatarinov",acm sigmod record,2001,236
join synopses for approximate query answering,"swarup acharya , phillip b. gibbons , viswanath poosala , sridhar ramaswamy",international conference on management of data,1999,237
acm multimedia 94 conference workshop on multimedia database management systems,"bruce berra , kingsley nwosu , bhavani thuraisingham",acm sigmod record,1995,238
applying database visualization to the world wide web,"masum z. hasan , alberto o. mendelzon , dimitra vista",acm sigmod record,1996,239
spotfire : an information exploration environment,christopher ahlberg,acm sigmod record,1996,240
a data model and data structures for moving objects databases,"luca forlizzi , ralf hartmut g &#252; ting , enrico nardelli , markus schneider",international conference on management of data,2000,241
inferring function semantics to optimize queries,"mitch cherniack , stanley b. zdonik",very large data bases,1998,242
the aditi deductive database system,"jayen vaghani , kotagiri ramamohanarao , david b. kemp , zoltan somogyi , peter j. stuckey , tim s. leask , james harland",the vldb journal -- the international journal on very large data bases,1994,243
advanced xml data processing : guest editor s introduction,karl aberer,acm sigmod record,2001,244
best-effort cache synchronization with source cooperation,"chris olston , jennifer widom",international conference on management of data,2002,245
xtract : a system for extracting document type descriptors from xml documents,"minos garofalakis , aristides gionis , rajeev rastogi , s. seshadri , kyuseok shim",international conference on management of data,2000,246
distributed deviation detection in sensor networks,"themistoklis palpanas , dimitris papadopoulos , vana kalogeraki , dimitrios gunopulos",acm sigmod record,2003,247
approximate query processing : taming the terabytes,"minos n. garofalakis , phillip b. gibbon",very large data bases,2001,248
the prototype of the dare system,"tiziana catarci , giuseppe santucci",international conference on management of data,2001,249
in memory of bob kooi ( 1951-1993 ),michael stonebraker,acm sigmod record,1994,250
efficient integration and aggregation of historical information,"mirek riedewald , divyakant agrawal , amr el abbadi",international conference on management of data,2002,251
multi-dimensional selectivity estimation using compressed histogram information,"ju-hong lee , deok-hwan kim , chin-wan chung",international conference on management of data,1999,252
efficient algorithms for mining outliers from large data sets,"sridhar ramaswamy , rajeev rastogi , kyuseok shim",international conference on management of data,2000,253
open issues in parallel query optimization,"waqar hasan , daniela florescu , patrick valduriez",acm sigmod record,1996,254
