name,addr,city,phone,type,class,id
carmine's,2450 broadway,new york,212-362-2200,italian,28,110
lulu restaurant-bis-cafe,816 folsom st.,san francisco,415-495-5775,mediterranean,105,111
yama,122 e. 17th st.,new york,212-475-0969,japanese,654,112
103 west,103 w. paces ferry rd.,atlanta,404-233-5993,continental,675,113
aqua,252 california st.,san francisco,415-956-9662,american ( new ),95,114
katsu,1972 hillhurst ave.,los feliz,213-665-1891,japanese,10,115
felidia,243 e. 58th st.,new york,212-758-1479,italian,33,116
swan oyster depot,1517 polk st.,san francisco,415-673-1101,seafood,746,117
morton's of chicago ( atlanta ),303 peachtree st. ne,atlanta,404-577-4366,steakhouses,704,118
lombardi's,32 spring st.,new york,212-941-7994,pizza,625,119
ritz-carlton cafe ( buckhead ),3434 peachtree rd. ne,atlanta,404-237-2700,american ( new ),89,120
la cachette,10506 little santa monica blvd.,century,310-470-4992,french ( new ),568,121
four seasons,99 e. 52nd st.,new york,212-754-9494,american ( new ),34,122
aquavit,13 w. 54th st.,new york,212-307-7311,scandinavian,24,123
sushi nozawa,11288 ventura blvd.,studio,818-508-7017,japanese,595,124
fenix at the argyle,8358 sunset blvd.,w. hollywood,213-848-6677,french ( new ),7,125
water grill,544 s. grand ave.,los angeles,213-891-0900,seafood,600,126
steakhouse the,128 e. fremont st.,las vegas,702-382-1600,steakhouses,671,127
rose pistola,532 columbus ave.,san francisco,415-399-0499,italian,111,128
khan toke thai house,5937 geary blvd.,san francisco,415-668-6654,thai,103,129
peter luger steak house,178 broadway,brooklyn,718-387-7400,steakhouses,637,130
pinot bistro,12969 ventura blvd.,studio,818-990-0500,french bistro,18,131
trio cafe,1870 fillmore st.,san francisco,415-563-2248,american,749,132
ritz-carlton cafe ( atlanta ),181 peachtree st.,atlanta,404-659-0400,american ( new ),711,133
brasserie le coze,3393 peachtree rd.,atlanta,404-266-1440,french bistro,77,134
arcadia,21 e. 62nd st.,new york,212-223-2900,american ( new ),603,135
nava,3060 peachtree rd.,atlanta,404-240-1984,southwestern,706,136
dawat,210 e. 58th st.,new york,212-355-7555,indian,32,137
pho hoa,642 broadway,chinatown,213-626-5530,vietnamese,585,138
indigo coastal grill,1397 n. highland ave.,atlanta,404-876-0676,eclectic,84,139
john's pizzeria,48 w. 65th st.,new york,212-721-7001,pizza,618,140
bernard's,515 s. olive st.,los angeles,213-612-1580,continental,539,141
patsy's pizza,19 old fulton st.,brooklyn,718-858-4300,pizza,636,142
jo jo,160 e. 64th st.,new york,212-223-5656,french bistro,38,143
jan's family restaurant,8424 beverly blvd.,la,213-651-2866,coffee shops,557,144
ruth's chris steak house ( los angeles ),224 s. beverly dr.,beverly hills,310-859-8744,steakhouses,593,145
la folie,2316 polk st.,san francisco,415-776-5577,french ( new ),104,146
mayflower cuisinier,4750 w. sahara ave.,las vegas,702-870-8432,chinese,663,147
indo cafe,10428 1/2 national blvd.,la,310-815-1290,indonesian,556,148
doidge's,2217 union st.,san francisco,415-921-2149,american,726,149
shiro,1505 mission st. s.,pasadena,818-799-4774,pacific new wave,594,150
philippe the original,1001 n. alameda st.,chinatown,213-628-3781,cafeterias,17,151
teresa's,80 montague st.,queens,718-520-2910,polish,647,152
chops,70 w. paces ferry rd.,atlanta,404-262-2675,steakhouses,687,153
gramercy tavern,42 e. 20th st.,new york,212-477-0777,american ( new ),36,154
island spice,402 w. 44th st.,new york,212-765-1737,caribbean,37,155
la taqueria,2889 mission st.,san francisco,415-285-7117,mexican,736,156
mario's bohemian cigar store cafe,2209 polk st.,san francisco,415-776-8226,italian,737,157
johnny rockets ( la ),7507 melrose ave.,la,213-651-3361,american,564,158
montrachet,239 w. broadway,new york,212-219-2777,french bistro,49,159
cafe sunflower,5975 roswell rd.,atlanta,404-256-1675,health food,683,160
kelly's on trinity,333 bush st.,san francisco,415-362-4454,californian,733,161
jiraffe,502 santa monica blvd,santa monica,310-917-6671,californian,558,162
palm the ( los angeles ),9001 santa monica blvd.,w. hollywood,310-550-8811,steakhouses,15,163
buckhead diner,3073 piedmont rd.,atlanta,404-262-3336,american ( new ),78,164
martha's,22nd street grill 25 22nd,st. hermosa beach,310-376-7786,american,575,165
ritz-carlton dining room ( san francisco ),600 stockton st.,san francisco,415-296-7465,french ( new ),110,166
bel-air hotel,701 stone canyon rd.,bel air,310-472-1211,californian,2,167
bistro the,56 e. andrews dr. nw,atlanta,404-231-5733,french bistro,679,168
java jive,790 ponce de leon ave.,atlanta,404-876-6161,coffee shops,698,169
picholine,35 w. 64th st.,new york,212-724-8585,mediterranean,53,170
campton place,340 stockton st.,san francisco,415-955-5555,american ( new ),98,171
wa-ha-ka oaxaca mexican grill,2141 polk st.,san francisco,415-775-1055,mexican,752,172
mary mac's tea room,224 ponce de leon ave.,atlanta,404-876-1800,southern/soul,86,173
rex il ristorante,617 s. olive st.,los angeles,213-627-2300,nuova cucina italian,19,174
uncle nick's,747 ninth ave.,new york,212-245-7992,greek,64,175
san francisco bbq,1328 18th st.,san francisco,415-431-8956,thai,744,176
hedgerose heights inn the,490 e. paces ferry rd. ne,atlanta,404-233-7673,continental,82,177
koo koo roo,8393 w. beverly blvd.,la,213-655-9045,chicken,567,178
manhattan ocean club,57 w. 58th st.,new york,212-371-7777,seafood,45,179
veni vidi vici,41 14th st.,atlanta,404-875-8424,italian,93,180
gotham bar & grill,12 e. 12th st.,new york,212-620-4020,american ( new ),35,181
dottie's true blue cafe,522 jones st.,san francisco,415-885-2767,diners,727,182
aureole,34 e. 61st st.,new york,212-319-1660,american ( new ),25,183
hugo's cellar,202 e. fremont st.,las vegas,702-385-4011,continental,661,184
hawthorne lane,22 hawthorne st.,san francisco,415-777-9779,californian,102,185
majestic,1031 ponce de leon ave.,atlanta,404-875-0276,diners,703,186
stefano's,129 fremont st.,las vegas,702-385-7111,italian,672,187
monsoon ( ny ),435 amsterdam ave.,new york,212-580-8686,thai,629,188
grill the,9560 dayton way,beverly hills,310-276-0615,american ( traditional ),9,189
mifune,1737 post st.,san francisco,415-922-0337,japanese,107,190
chopstix,4279 roswell rd.,atlanta,404-255-4868,chinese,688,191
sylvia's,328 lenox ave.,new york,212-996-0660,southern/soul,644,192
don antonio's,1136 westwood blvd.,westwood,310-209-1422,italian,550,193
bill's place,2315 clement st.,san francisco,415-221-5262,hamburgers,721,194
locanda veneta,8638 w. third st.,los angeles,310-274-1893,italian,13,195
thailand restaurant,106 bayard st.,new york,212-349-3132,thai,649,196
darbar,44 w. 56th st.,new york,212-432-7227,indian,609,197
ti couz,3108 16th st.,san francisco,415-252-7373,french,748,198
campanile,624 s. la brea ave.,los angeles,213-938-1447,californian,4,199
carnegie deli,854 seventh ave.,new york,212-757-2245,delis,29,200
la fonda latina,4427 roswell rd.,atlanta,404-303-8201,spanish,701,201
cucina di pesce,87 e. fourth st.,new york,212-260-6800,seafood,608,202
yujean kang's,67 n. raymond ave.,pasadena,818-585-0855,chinese,22,203
heera of india,595 piedmont ave.,atlanta,404-876-4408,indian,83,204
jackson diner,37-03 74th st.,queens,718-672-1232,indian,616,205
apple pan the,10801 w. pico blvd.,west la,310-475-3585,american,534,206
san domenico,240 central park s.,new york,212-265-5959,italian,57,207
spago ( los angeles ),8795 sunset blvd.,w. hollywood,310-652-4025,californian,20,208
dusit thai,3221 mission st.,san francisco,415-826-4639,thai,728,209
pink's famous chili dogs,709 n. la brea ave.,la,213-931-4223,hot dogs,586,210
second avenue deli,156 second ave.,new york,212-677-0606,delis,58,211
bacchanalia,3125 piedmont rd.,atlanta,404-365-0410,californian,75,212
cha cha cha's,1805 haight st.,san francisco,415-386-5758,caribbean,725,213
belvedere the,9882 little santa monica blvd.,beverly hills,310-788-2306,pacific new wave,537,214
fringale,570 fourth st.,san francisco,415-543-0573,french bistro,101,215
sushisay,38 e. 51st st.,new york,212-755-1780,japanese,643,216
ciboulette restaurant,1529 piedmont ave.,atlanta,404-874-7600,french ( new ),79,217
main course the,10509 w. pico blvd.,rancho park,310-475-7564,american,573,218
corner bistro,331 w. fourth st.,new york,212-242-9502,hamburgers,606,219
tu lan,8 sixth st.,san francisco,415-626-0927,vietnamese,750,220
mani's bakery & espresso bar,519 s. fairfax ave.,la,213-938-8800,desserts,574,221
silver skillet the,200 14th st. nw,atlanta,404-874-1388,coffee shops,713,222
chez michel,804 north point st.,san francisco,415-775-7036,californian,99,223
park avenue cafe ( new york ),100 e. 63rd st.,new york,212-644-1900,american ( new ),51,224
delectables,1 margaret mitchell sq.,atlanta,404-681-2909,cafeterias,80,225
ocean park cafe,3117 ocean park blvd.,santa monica,310-452-5728,american,581,226
daniel,20 e. 76th st.,new york,212-288-0033,french ( new ),31,227
tavern on the green,central park west,new york,212-873-3200,american ( new ),63,228
sign of the dove,1110 third ave.,new york,212-861-8080,american ( new ),61,229
frijoleros,1031 peachtree st. ne,atlanta,404-892-8226,tex-mex,692,230
cassell's,3266 w. sixth st.,la,213-480-8668,hamburgers,547,231
bistro 45,45 s. mentor ave.,pasadena,818-795-2478,californian,540,232
bone's restaurant,3130 piedmont rd. ne,atlanta,404-237-2663,steakhouses,76,233
chanterelle,2 harrison st.,new york,212-966-6960,french ( new ),30,234
mi cocina,57 jane st.,new york,212-627-8273,mexican,48,235
zarela,953 second ave.,new york,212-644-6740,mexican,655,236
john o \  groats,10516 w. pico blvd.,west la,310-204-0692,coffee shops,561,237
